"Timestamp","What gender do you identify with?","What race do you identify with?","What graduation class are you?","What is the maximum size of an indoor social gathering (without masking) that you would feel comfortable attending right now?","Which Covid-19 restrictions do you think should be in place right now? (check all that apply)","Which Covid-19 restrictions would you support if Brown were to see a rise in cases similar to the increase in early September of this year? (check all that apply)","How worried are you about getting seriously sick from Covid-19?","How would you describe your political views?","Do you think you are more liberal, more conservative, or about the same as the median Brown student?"," Do you approve or disapprove of the way Joe Biden is handling his job as President?","How happy are you that you go to Brown?","Which of the following do you check on a regular basis? (check all that apply)","How satisfied are you with the overall experience of Brown dining at the moment?"
"2021/10/14 1:22:33 PM AST","Female","Prefer not to answer","2024","10 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Brown meme pages","Neutral"
"2021/10/14 1:24:23 PM AST","Female","White","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/14 1:25:31 PM AST","Male","Black","2022","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/14 1:26:00 PM AST","Male","White","2024","15 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages","Neutral"
"2021/10/14 1:27:59 PM AST","Male","White","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat disapprove","Somewhat happy","","Neutral"
"2021/10/14 1:28:20 PM AST","Female","Non-white Hispanic","2025","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Somewhat happy","Brown meme pages","Unsatisfied"
"2021/10/14 1:28:33 PM AST","Male","White","2023","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat disapprove","Somewhat happy","Dear Blueno","Neutral"
"2021/10/14 1:30:13 PM AST","Male","White","2025","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Strongly approve","Very happy","Brown meme pages","Very satisfied"
"2021/10/14 1:30:37 PM AST","Male","Asian","2024","50 people","None","None","I am not very worried about getting seriously sick from Covid-19","Very conservative","More conservative","Strongly disapprove","Somewhat unhappy","Dear Blueno;Brown meme pages","Very unsatisfied"
"2021/10/14 1:31:08 PM AST","Male","Arab","2025","No maximum","None","None","I am not at all worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Somewhat disapprove","Very happy","Brown meme pages","Satisfied"
"2021/10/14 1:34:34 PM AST","Male","White","2023","15 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","Unsure/prefer not to answer","Somewhat disapprove","Somewhat happy","Dear Blueno;The College Hill Independent website;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/14 1:36:55 PM AST","Male","White","2023","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","Official Brown website and social media pages;Brown meme pages","Very unsatisfied"
"2021/10/14 1:38:39 PM AST","Male","Black","2025","No maximum","Required masking in class","Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Unsure/no opinion","Neither happy nor unhappy","Brown meme pages","Very unsatisfied"
"2021/10/14 1:40:41 PM AST","Female","two races - white and indian","2022","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly approve","Somewhat happy","Dear Blueno;Brown meme pages","Very unsatisfied"
"2021/10/14 1:41:40 PM AST","Male","White","2024","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Brown meme pages","Unsatisfied"
"2021/10/14 1:41:44 PM AST","Male","White/American Indian","2025","50 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages","Very satisfied"
"2021/10/14 1:42:12 PM AST","Male","White","2024","No maximum","Mandatory Covid-19 testing","None","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","","Unsatisfied"
"2021/10/14 1:48:46 PM AST","Male","Asian","2022","No maximum","Required masking in class","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Neither approve nor disapprove","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages","I am not on meal plan"
"2021/10/14 1:49:07 PM AST","Male","Indian/White","2024","25 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Neither happy nor unhappy","Dear Blueno","I am not on meal plan"
"2021/10/14 1:50:31 PM AST","Male","White","2023","Prefer not to answer","Required masking in class;Required masking in libraries","Required masking in class;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat approve","Very happy","Dear Blueno;Brown meme pages","Neutral"
"2021/10/14 1:53:19 PM AST","Female","Black","2025","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Prefer not to answer","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages","Neutral"
"2021/10/14 1:56:01 PM AST","Male","Black/Asian ","2021.5","25 people","Required masking in class;Required masking in libraries","Required masking in class;Required masking in libraries","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Somewhat happy","The Brown Daily Herald website","Very unsatisfied"
"2021/10/14 1:56:18 PM AST","Female","Asian","2022","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Dear Blueno","I am not on meal plan"
"2021/10/14 1:56:31 PM AST","Male","White","2022.5","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Somewhat happy","","I am not on meal plan"
"2021/10/14 1:57:51 PM AST","Female","White","2024","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/14 2:04:13 PM AST","Male","Black","2022","No maximum","Mandatory Covid-19 testing","Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Somewhat approve","Very happy","","I am not on meal plan"
"2021/10/14 2:04:33 PM AST","Female","White","2024","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website","Satisfied"
"2021/10/14 2:06:01 PM AST","Female","Native Hawaiian/Pacific Islander","2023","No maximum","None","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly approve","Somewhat happy","Brown meme pages","I am not on meal plan"
"2021/10/14 2:09:07 PM AST","Male","White","2023","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Strongly approve","Somewhat happy","","Unsatisfied"
"2021/10/14 2:10:28 PM AST","Female","White","2021.5","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","More liberal","Strongly disapprove","Very happy","Official Brown website and social media pages","I am not on meal plan"
"2021/10/14 2:10:56 PM AST","Male","White","2024","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Neither approve nor disapprove","Somewhat happy","Official Brown website and social media pages;Dear Blueno;Brown meme pages","Unsatisfied"
"2021/10/14 2:12:51 PM AST","Male","Asian","2024","25 people","Prefer not to answer","Prefer not to answer","I am not very worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Prefer not to answer","Very happy","The Brown Daily Herald website","I am not on meal plan"
"2021/10/14 2:13:33 PM AST","Female","White","2024","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am extremely worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Very happy","Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/14 2:13:37 PM AST","Male","White","2025","No maximum","Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Strongly approve","Very happy","The Brown Daily Herald website;Brown meme pages","Neutral"
"2021/10/14 2:13:53 PM AST","Female","Prefer not to answer","2025","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","Unsure/prefer not to answer","Somewhat disapprove","Somewhat happy","Official Brown website and social media pages","Satisfied"
"2021/10/14 2:14:51 PM AST","Male","White","2024","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/14 2:15:35 PM AST","Non-binary","White","2022","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Strongly disapprove","Very happy","Dear Blueno;The College Hill Independent website","Unsatisfied"
"2021/10/14 2:16:29 PM AST","Male","White","2025","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat approve","Somewhat happy","","Satisfied"
"2021/10/14 2:19:17 PM AST","Female","Black","2022","No maximum","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Neither approve nor disapprove","Very happy","","Satisfied"
"2021/10/14 2:19:34 PM AST","Non-binary","Asian","2024","15 people","Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Somewhat happy","Dear Blueno;Brown meme pages","Unsatisfied"
"2021/10/14 2:19:56 PM AST","Female","Asian","2024","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","About the same","Neither approve nor disapprove","Somewhat happy","Brown meme pages","Unsatisfied"
"2021/10/14 2:20:11 PM AST","Male","Asian","2022.5","10 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","About the same","Somewhat disapprove","Somewhat happy","Official Brown website and social media pages",""
"2021/10/14 2:20:58 PM AST","Male","black and asian","2025","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat disapprove","Very happy","","Satisfied"
"2021/10/14 2:21:46 PM AST","Female","White","2025","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","Official Brown website and social media pages;Brown meme pages","Satisfied"
"2021/10/14 2:23:15 PM AST","Prefer not to answer","White","2023","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Neither happy nor unhappy","","I am not on meal plan"
"2021/10/14 2:24:32 PM AST","Female","North African","2024","No maximum","Required masking in class","Required masking in class;Suspended indoor dining","I am not at all worried about getting seriously sick from Covid-19","Unsure/prefer not to answer","About the same","Unsure/no opinion","Very happy","The Brown Daily Herald website;Brown meme pages","Satisfied"
"2021/10/14 2:25:23 PM AST","Male","White","2024","No maximum","Mandatory Covid-19 testing","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","","Very unsatisfied"
"2021/10/14 2:26:12 PM AST","Female","White","2024","No maximum","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","More liberal","Somewhat approve","Very happy","Brown meme pages","Neutral"
"2021/10/14 2:27:05 PM AST","Male","White","2023","15 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat disapprove","Somewhat happy","","Neutral"
"2021/10/14 2:27:09 PM AST","Male","White","2023","50 people","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Somewhat happy","Dear Blueno","Very unsatisfied"
"2021/10/14 2:27:24 PM AST","Female","White","2023.5","50 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Dear Blueno","Unsatisfied"
"2021/10/14 2:28:05 PM AST","Male","Asian","2024","No maximum","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Required masking in class;Required masking in libraries;Suspended indoor dining;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Moderate","About the same","Somewhat approve","Very happy","Brown meme pages","Satisfied"
"2021/10/14 2:29:07 PM AST","Female","Black","2025","No maximum","None","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Moderate","Unsure/prefer not to answer","Unsure/no opinion","Very happy","Brown meme pages","Neutral"
"2021/10/14 2:29:08 PM AST","Male","Asian","2025","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am extremely worried about getting seriously sick from Covid-19","Very liberal","About the same","Unsure/no opinion","Very happy","Official Brown website and social media pages;Dear Blueno;The College Hill Independent website;Brown meme pages","Very unsatisfied"
"2021/10/14 2:29:41 PM AST","Female","mixed black and white","2025","No maximum","Mandatory Covid-19 testing","Required masking in class;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages","Satisfied"
"2021/10/14 2:30:09 PM AST","Male","White","2025","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Very happy","Brown meme pages","Satisfied"
"2021/10/14 2:31:12 PM AST","Male","White","2022.5","50 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat disapprove","Somewhat happy","Class Facebook page","I am not on meal plan"
"2021/10/14 2:31:21 PM AST","Female","Asian","2024","100 people","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Official Brown website and social media pages;Brown meme pages","Satisfied"
"2021/10/14 2:31:43 PM AST","Male","White","2025","No maximum","Required masking in class;Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Somewhat happy","","Satisfied"
"2021/10/14 2:32:46 PM AST","Male","Asian","2023","50 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","The Brown Daily Herald website","Unsatisfied"
"2021/10/14 2:32:58 PM AST","Male","White","2023","No maximum","Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Somewhat happy","","Satisfied"
"2021/10/14 2:33:29 PM AST","Female","Native Hawaiian/Pacific Islander","2025","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am somewhat worried about getting seriously sick from Covid-19","Moderate","More conservative","Somewhat disapprove","Very happy","Official Brown website and social media pages","Neutral"
"2021/10/14 2:33:41 PM AST","Female","Black","2022.5","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","More liberal","Strongly disapprove","Somewhat unhappy","Official Brown website and social media pages;Brown meme pages;Class Facebook page","I am not on meal plan"
"2021/10/14 2:34:30 PM AST","Female","White","2025","50 people","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing","Required masking in class;Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","About the same","Somewhat approve","Very happy","Brown meme pages","Satisfied"
"2021/10/14 2:34:39 PM AST","Female","White","2023","5 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am extremely worried about getting seriously sick from Covid-19","Very liberal","More liberal","Somewhat approve","Somewhat happy","Brown meme pages","I am not on meal plan"
"2021/10/14 2:34:56 PM AST","Female","White","2024","No maximum","None","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Moderate","More conservative","Strongly disapprove","Somewhat happy","The Brown Daily Herald website;Official Brown website and social media pages;Dear Blueno;Brown meme pages;Class Facebook page","Satisfied"
"2021/10/14 2:36:39 PM AST","Female","White","2024","50 people","Required masking in class;Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Neither happy nor unhappy","The Brown Daily Herald website;Brown meme pages","Unsatisfied"
"2021/10/14 2:38:21 PM AST","Female","Asian","2024","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Liberal","More conservative","Neither approve nor disapprove","Very happy","Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/14 2:38:37 PM AST","Female","White","2023","No maximum","Required masking in class;Mandatory Covid-19 testing","Mandatory Covid-19 testing","I am not at all worried about getting seriously sick from Covid-19","Liberal","About the same","Unsure/no opinion","Very happy","","I am not on meal plan"
"2021/10/14 2:39:01 PM AST","Female","Asian","2023","10 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Suspended indoor dining;Mandatory Covid-19 testing;Gathering size limits","I am not very worried about getting seriously sick from Covid-19","Liberal","About the same","Neither approve nor disapprove","Very happy","Dear Blueno","I am not on meal plan"
"2021/10/14 2:39:37 PM AST","Female","Asian","2025","25 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Mandatory Covid-19 testing","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing","I am not very worried about getting seriously sick from Covid-19","Very liberal","About the same","Somewhat approve","Very happy","The Brown Daily Herald website;Official Brown website and social media pages;Brown meme pages","Unsatisfied"
"2021/10/14 2:40:05 PM AST","Female","White","2023","15 people","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","Required masking in class;Required masking in athletic facilities (Nelson, OMAC, etc.);Required masking in libraries;Mandatory Covid-19 testing;Gathering size limits","I am somewhat worried about getting seriously sick from Covid-19","Very liberal","About the same","Neither approve nor disapprove","Very happy","Brown meme pages","Unsatisfied"
