"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my political opinions on Brown’s campus.","Have you attended a protest in your time at Brown?","To what extent do you agree with the following statement: It is possible for Israel and an independent Palestinian state to coexist peacefully.","Should the 20 members of BrownU Jews for Ceasefire Now who staged a sit-in at University Hall face disciplinary action from the University?","To what extent do you agree or disagree with recent calls for Brown University to divest its endowment from weapons manufacturers supplying the Israeli army?","Have you been to therapy (psychological or emotional counseling) before?","On average, how many class meetings (including lectures, seminars, labs, conference sections, etc.) do you skip per week?","Do you think your concentration/double-concentration is harder or easier than the majority of other concentrations at Brown?","Do you think humans are inherently monogamous (are inclined to commit to only one person at a time)?","When was the last time you masturbated?"
"2023/11/29 1:14:11 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","No","Somewhat disagree","Unsure","Strongly agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 1:14:11 PM EST","2026","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","5+","Unsure","Unsure","Prefer not to answer"
"2023/11/29 1:17:20 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 1:18:44 PM EST","2027","Man","Black","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","No","Prefer not to answer","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:19:23 PM EST","2025","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:21:04 PM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 1:23:37 PM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","Prefer not to answer","Unsure","I have never been to therapy","0","Unsure","Unsure","Prefer not to answer"
"2023/11/29 1:25:30 PM EST","2027","Man","Black;White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","Unsure","Unsure","I have been to therapy in the past but do not currently go to therapy","3","Unsure","No","In the last month"
"2023/11/29 1:27:00 PM EST","2025","Non-binary","Black","Life Sciences;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","5+","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 1:27:07 PM EST","2024","Man","Prefer not to answer","Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Strongly agree","Yes","Strongly disagree","I am currently going to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:28:16 PM EST","2025","Woman","Asian","Life Sciences","Somewhat agree","No","Unsure","No","Somewhat agree","I have never been to therapy","2","My concentration is easier than the majority of other concentrations","No","Prefer not to answer"
"2023/11/29 1:29:39 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Strongly agree","No","Unsure","No","Unsure","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 1:30:03 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","No","Somewhat agree","I have never been to therapy","2","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:31:03 PM EST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:37:54 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have never been to therapy","0","Unsure","Yes","In the last week"
"2023/11/29 1:39:11 PM EST","2025","Man","Black;White","Physical Sciences (including math, computer science)","Somewhat disagree","No","Unsure","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 1:39:14 PM EST","2027","Man","Hispanic or Latino;White","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Prefer not to answer","Prefer not to answer","Unsure","Unsure","Unsure","Prefer not to answer"
"2023/11/29 1:40:52 PM EST","2024","Woman","White","Humanities/Arts","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have never been to therapy","0","Unsure","No","In the last week"
"2023/11/29 1:41:15 PM EST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Unsure","No","Strongly agree","I am currently going to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 1:42:34 PM EST","2024","Man","White","Humanities/Arts","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last month"
"2023/11/29 1:44:20 PM EST","2024.5","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly agree","Yes","Somewhat disagree","I have never been to therapy","4","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 1:44:49 PM EST","2025","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Unsure","No","Strongly agree","I am currently going to therapy","5+","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 1:48:04 PM EST","2026","Man","Prefer not to answer","Life Sciences","Somewhat disagree","No","Somewhat agree","Yes","Strongly disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 1:50:52 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Unsure","Somewhat agree","No","Strongly disagree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 1:52:07 PM EST","2026","Man","Black;White","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/29 1:52:09 PM EST","2026","Woman","Hispanic or Latino;White","Life Sciences","Unsure","Yes","Somewhat disagree","Yes","Strongly disagree","I have never been to therapy","3","Unsure","No","I have never masturbated"
"2023/11/29 1:53:21 PM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Yes","Strongly agree","Unsure","Strongly disagree","I am currently going to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 1:54:27 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","3","Unsure","Unsure","In the last week"
"2023/11/29 1:55:45 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","Unsure","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 1:56:02 PM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 1:56:29 PM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat disagree","No","Strongly disagree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 1:57:41 PM EST","2025","Man","Middle Eastern or North African;White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","Yes","Strongly disagree","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not answer","Prefer not to answer"
"2023/11/29 1:57:53 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Unsure","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","5+","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 1:59:35 PM EST","2026","Woman","Hispanic or Latino;Native American or Alaska Native","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","No","Prefer not to answer"
"2023/11/29 2:00:53 PM EST","2026","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Strongly disagree","Yes","Strongly agree","Yes","Strongly disagree","I am currently going to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 2:02:38 PM EST","2025","Woman","Asian","Life Sciences","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","No","In the last year"
"2023/11/29 2:03:11 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Strongly agree","No","Strongly agree","Unsure","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","No","Prefer not to answer"
"2023/11/29 2:04:22 PM EST","2027","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","Unsure","Strongly agree","I have never been to therapy","5+","My concentration is easier than the majority of other concentrations","No","I have never masturbated"
"2023/11/29 2:05:03 PM EST","2027","Woman","Asian;Native Hawaiian or Pacific Islander;White","Life Sciences","Unsure","No","Unsure","Prefer not to answer","Unsure","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Yes","Prefer not to answer"
"2023/11/29 2:05:29 PM EST","2027","Woman","Middle Eastern or North African;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Strongly disagree","No","Strongly agree","I have never been to therapy","2","Unsure","Unsure","I have never masturbated"
"2023/11/29 2:06:12 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:07:11 PM EST","2027","Woman","White","Life Sciences","Somewhat disagree","Unsure","Somewhat agree","Unsure","Strongly disagree","I have never been to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 2:07:35 PM EST","2024","Non-binary","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","2","My concentration is easier than the majority of other concentrations","No","Yesterday"
"2023/11/29 2:09:15 PM EST","2026","Woman","Black","Life Sciences","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","4","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 2:09:23 PM EST","2025","Woman","White","Humanities/Arts","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","Unsure","Unsure","In the last month"
"2023/11/29 2:09:57 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Yes","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 2:10:42 PM EST","2024","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have never been to therapy","1","Unsure","Unsure","In the last week"
"2023/11/29 2:14:08 PM EST","2024","Man","Asian","Humanities/Arts;Life Sciences","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","1","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 2:15:52 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Strongly disagree","Yes","Somewhat agree","Unsure","Somewhat disagree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 2:23:30 PM EST","2024.5","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","No","Unsure","Unsure","Somewhat disagree","I have never been to therapy","1","Unsure","Yes","In the last week"
"2023/11/29 2:25:17 PM EST","2027","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","Unsure","In the last week"
"2023/11/29 2:26:14 PM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Strongly disagree","Yes","Somewhat agree","Yes","Strongly disagree","I am currently going to therapy","2","My concentration is easier than the majority of other concentrations","Yes","Today"
"2023/11/29 2:27:39 PM EST","2026","Woman","Black","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 2:27:41 PM EST","2027","Woman","Hispanic or Latino","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","No","Somewhat agree","Yes","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","No","Prefer not to answer"
"2023/11/29 2:30:03 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat agree","Yes","Somewhat disagree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 2:30:04 PM EST","2025","Woman","Native Hawaiian or Pacific Islander","Life Sciences","Somewhat agree","No","Unsure","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","4","My concentration is harder than the majority of other concentrations","Yes","Unsure"
"2023/11/29 2:30:50 PM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat agree","Yes","Strongly disagree","I am currently going to therapy","1","My concentration is harder than the majority of other concentrations","Unsure","Prefer not to answer"
"2023/11/29 2:33:25 PM EST","2024","Woman","Hispanic or Latino;White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","No","Yesterday"
"2023/11/29 2:34:00 PM EST","2026","Woman","Middle Eastern or North African","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","No","In the last month"
"2023/11/29 2:35:58 PM EST","2023.5","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","Yes","Somewhat disagree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 2:39:07 PM EST","2024.5","Man","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","No","Today"
"2023/11/29 2:40:27 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat agree","No","Strongly agree","I have never been to therapy","1","My concentration is harder than the majority of other concentrations","Unsure","Unsure"
"2023/11/29 2:41:36 PM EST","2025","Man","White","Humanities/Arts","Somewhat agree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:43:53 PM EST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last week"
"2023/11/29 2:46:50 PM EST","2024","Man","Black;White","Humanities/Arts","Somewhat agree","Yes","Strongly disagree","No","Strongly agree","I have never been to therapy","0","Unsure","No","Today"
"2023/11/29 2:47:03 PM EST","2027","Woman","White","Humanities/Arts","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have never been to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:48:24 PM EST","2026","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I have never been to therapy","2","Unsure","No","Prefer not to answer"
"2023/11/29 2:48:33 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","3","Unsure","No","Yesterday"
"2023/11/29 2:51:16 PM EST","2024","Woman","White","Life Sciences","Somewhat disagree","No","Strongly disagree","No","Somewhat disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:52:31 PM EST","2026","Woman","Black","Physical Sciences (including math, computer science)","Unsure","No","Prefer not to answer","No","Unsure","I have never been to therapy","5+","Unsure","Unsure","Prefer not to answer"
"2023/11/29 2:52:40 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat disagree","No","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 2:53:50 PM EST","2026","Woman","Hispanic or Latino","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 2:54:42 PM EST","2025","Woman","Asian;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","Unsure","Unsure","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/29 2:55:49 PM EST","2025","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/29 2:55:57 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","No","Strongly disagree","No","Strongly agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:56:23 PM EST","2025","Man","White","Humanities/Arts;Life Sciences","Strongly disagree","No","Strongly agree","Yes","Strongly disagree","I am currently going to therapy","2","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 2:57:21 PM EST","2025","Woman","Asian;White","Humanities/Arts;Life Sciences","Somewhat agree","Yes","Somewhat agree","No","Strongly agree","I am currently going to therapy","5+","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 2:57:58 PM EST","2025","Woman","Black","Social Sciences (including economics, CLPS)","Unsure","Yes","Unsure","No","Strongly agree","I am currently going to therapy","4","My concentration is easier than the majority of other concentrations","Unsure","Unsure"
"2023/11/29 2:58:51 PM EST","2026","Woman","Asian;White","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Unsure","Strongly disagree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","I have never masturbated"
"2023/11/29 2:59:24 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 2:59:37 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Strongly agree","No","Strongly agree","I am currently going to therapy","0","Unsure","Unsure","Yesterday"
"2023/11/29 3:00:11 PM EST","2025","Woman","White","Humanities/Arts","Strongly agree","Yes","Somewhat agree","No","Somewhat agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","Yesterday"
"2023/11/29 3:01:44 PM EST","2026","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","Unsure","Prefer not to answer"
"2023/11/29 3:01:46 PM EST","2026","Woman","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","5+","Unsure","Unsure","I have never masturbated"
"2023/11/29 3:02:11 PM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","No","Somewhat agree","Yes","Strongly disagree","I am currently going to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 3:03:50 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Yes","Prefer not to answer"
"2023/11/29 3:05:02 PM EST","2025","Non-binary","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 3:07:00 PM EST","2025","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","No","In the last month"
"2023/11/29 3:08:44 PM EST","2026","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","In the last month"
"2023/11/29 3:09:12 PM EST","2026","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","Unsure","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/29 3:09:58 PM EST","2027","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I am currently going to therapy","2","Unsure","No","Unsure"
"2023/11/29 3:10:11 PM EST","2026","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","Somewhat disagree","No","Unsure","Unsure","Unsure","I have never been to therapy","4","Unsure","Yes","In the last week"
"2023/11/29 3:10:46 PM EST","2025","Non-binary","White","Humanities/Arts","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","No","In the last week"
"2023/11/29 3:11:07 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat agree","No","Unsure","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 3:14:08 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","No","Unsure","No","Unsure","I have been to therapy in the past but do not currently go to therapy","4","My concentration is harder than the majority of other concentrations","No","In the last month"
"2023/11/29 3:15:12 PM EST","2025","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","5+","Unsure","Unsure","Yesterday"
"2023/11/29 3:15:42 PM EST","2025","Non-binary","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","2","Unsure","No","Yesterday"
"2023/11/29 3:16:26 PM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Yes","Unsure","No","Unsure","I have been to therapy in the past but do not currently go to therapy","2","My concentration is harder than the majority of other concentrations","Unsure","In the last week"
"2023/11/29 3:18:08 PM EST","2027","Unsure","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","1","Unsure","No","Prefer not to answer"
"2023/11/29 3:19:14 PM EST","2024","Non-binary","White","Humanities/Arts","Somewhat agree","Yes","Somewhat disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","Unsure","Unsure","Yesterday"
"2023/11/29 3:26:32 PM EST","2025","Man","Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","Unsure","Somewhat agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 3:27:09 PM EST","2027","Woman","Hispanic or Latino;White","Life Sciences","Somewhat agree","No","Somewhat disagree","No","Strongly agree","I am currently going to therapy","0","My concentration is harder than the majority of other concentrations","Unsure","In the last month"
"2023/11/29 3:31:05 PM EST","2024.5","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","Unsure","Somewhat agree","I have been to therapy in the past but do not currently go to therapy","1","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 3:31:16 PM EST","2024","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","No","Somewhat disagree","Unsure","Prefer not to answer","I have been to therapy in the past but do not currently go to therapy","0","Unsure","No","Prefer not to answer"
"2023/11/29 3:33:40 PM EST","2025","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Somewhat disagree","Yes","Somewhat disagree","No","Strongly agree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/29 3:35:01 PM EST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Somewhat agree","I have never been to therapy","2","My concentration is harder than the majority of other concentrations","No","In the last year"
"2023/11/29 3:38:30 PM EST","2025","Non-binary","White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Yes","Strongly agree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","4","My concentration is harder than the majority of other concentrations","Unsure","Yesterday"
"2023/11/29 3:39:38 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Unsure","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","Yes","I have never masturbated"
"2023/11/29 3:40:05 PM EST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat disagree","No","Strongly agree","No","Strongly disagree","I have never been to therapy","0","My concentration is harder than the majority of other concentrations","Yes","In the last week"
"2023/11/29 3:41:07 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","No","Somewhat disagree","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","Yes","Prefer not to answer"
"2023/11/29 3:41:30 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Strongly agree","Yes","Somewhat disagree","No","Strongly agree","I have never been to therapy","3","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/29 3:42:29 PM EST","2025","Woman","Hispanic or Latino;White","Social Sciences (including economics, CLPS)","Somewhat disagree","No","Somewhat agree","Unsure","Somewhat disagree","I am currently going to therapy","1","My concentration is easier than the majority of other concentrations","Yes","In the last month"
"2023/11/29 3:44:52 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","No","Unsure","Yes","Unsure","I have never been to therapy","0","Unsure","No","I have never masturbated"
"2023/11/29 3:47:54 PM EST","2026","Woman","Asian;White","Humanities/Arts;Life Sciences","Strongly agree","Yes","Strongly disagree","No","Strongly agree","I have been to therapy in the past but do not currently go to therapy","3","My concentration is harder than the majority of other concentrations","No","In the last week"
"2023/11/29 3:48:46 PM EST","2024","Man","White","Life Sciences","Somewhat agree","Yes","Somewhat agree","No","Somewhat disagree","I am currently going to therapy","0","My concentration is easier than the majority of other concentrations","Yes","In the last week"
"2023/11/29 3:51:13 PM EST","2027","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","No","Unsure","Unsure","Somewhat agree","I have never been to therapy","0","Unsure","Yes","Prefer not to answer"
