"Timestamp","What is your current graduation year?","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","To what extent do you agree with the following statement: Joe Biden is too old to be an effective president.","To what extent do you agree with the following statement: Donald Trump is too old to be an effective president.","Should Brown have institutional neutrality? [""Institutional neutrality is the idea that colleges and universities should not, as institutions, take positions on social and political issues""]

(Definition from the Foundation for Individual Rights and Expression)","Do you identify more closely with capitalist or communist values?","How would you rate the effectiveness of using social media for political activism?","Do you think you are more lonely than the average Brown student?","Would you rather receive a final grade of a B or an S in a course?","Have you ever shoplifted before?","What is your love language?"
"2024/03/06 12:32:17 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 12:32:20 PM EST","2024","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 12:33:47 PM EST","2024.5","Man","Asian;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat disagree","Strongly disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:34:25 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Unsure","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:37:33 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 12:40:41 PM EST","2026","Unsure","Black;White","Social Sciences (including economics, CLPS)","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:42:39 PM EST","2024","Unsure","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 12:43:03 PM EST","2027","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 12:43:04 PM EST","2025","Woman","Asian","Life Sciences","Somewhat agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 12:43:28 PM EST","2027","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Prefer not to answer","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 12:47:57 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","Prefer not to answer","No","Physical touch"
"2024/03/06 12:48:19 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Unsure","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/06 12:48:42 PM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of a B","Yes","Physical touch"
"2024/03/06 12:49:00 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 12:51:14 PM EST","2025","Woman","Asian;White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:51:23 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 12:52:53 PM EST","2024","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, significantly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 12:53:23 PM EST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 12:54:51 PM EST","2024","Non-binary","Black;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/06 12:55:10 PM EST","2026","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 12:56:20 PM EST","2027","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Unsure","Physical touch"
"2024/03/06 12:56:29 PM EST","2027","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 12:57:39 PM EST","2027","Man","White","Humanities/Arts","Strongly disagree","Strongly disagree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 12:58:14 PM EST","2027","Man","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 12:58:33 PM EST","2027","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 1:00:01 PM EST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 1:00:17 PM EST","2024","Man","White","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 1:04:33 PM EST","2027","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","Yes","Acts of service"
"2024/03/06 1:05:32 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 1:06:56 PM EST","2026","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/06 1:08:07 PM EST","2024","Man","Hispanic or Latino","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:08:42 PM EST","2025","Man","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 1:14:39 PM EST","2026","Man","Black","Physical Sciences (including math, computer science)","Unsure","Somewhat disagree","Unsure","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Gift giving"
"2024/03/06 1:15:06 PM EST","2027","Man","Asian","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 1:17:29 PM EST","2027","Man","Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 1:19:35 PM EST","2025","Woman","White","Humanities/Arts;Physical Sciences (including math, computer science)","Somewhat agree","Strongly agree","Unsure","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:20:57 PM EST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 1:21:58 PM EST","2025","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 1:23:50 PM EST","2024","Man","White","Humanities/Arts;Life Sciences","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 1:27:11 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 1:30:20 PM EST","2024","Woman","White","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very ineffective","No, significantly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 1:30:56 PM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Words of affirmation"
"2024/03/06 1:33:33 PM EST","2024","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 1:33:36 PM EST","2026","Man","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 1:38:54 PM EST","2024","Unsure","White","Life Sciences","Somewhat agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:41:44 PM EST","2027","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","I do not believe in love languages"
"2024/03/06 1:41:44 PM EST","2026","Woman","Black;Hispanic or Latino","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/06 1:43:35 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/06 1:43:39 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Unsure","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:45:07 PM EST","2027","Woman","Black","Life Sciences","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/06 1:45:32 PM EST","2027","Woman","Black","Life Sciences","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Gift giving"
"2024/03/06 1:48:40 PM EST","2024","Woman","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Acts of service"
"2024/03/06 1:48:42 PM EST","2024","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 1:51:49 PM EST","2027","Woman","Black;White","Life Sciences","Somewhat agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 1:51:52 PM EST","2027","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Gift giving"
"2024/03/06 1:52:51 PM EST","2026","Woman","White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:53:53 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","I identify more closely with communist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Unsure"
"2024/03/06 1:53:58 PM EST","2026","Man","Black;White","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 1:54:37 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:56:25 PM EST","2024","Non-binary","Prefer not to answer","Humanities/Arts","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Unsure","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/06 1:57:03 PM EST","2025","Non-binary","White","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 1:58:41 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 1:59:06 PM EST","2024","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","No","Words of affirmation"
"2024/03/06 2:00:54 PM EST","2026","Man;Unsure","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 2:03:02 PM EST","2025","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 2:05:05 PM EST","2024","Man","Black;Hispanic or Latino","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","Prefer not to answer","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 2:06:25 PM EST","2027","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 2:07:08 PM EST","2024","Woman","Black;White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 2:07:43 PM EST","2026","Man","Hispanic or Latino","Humanities/Arts;Life Sciences","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","Unsure","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 2:08:41 PM EST","2025","Non-binary","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:14:50 PM EST","2027","Man","White","Humanities/Arts","Somewhat disagree","Strongly disagree","Yes, Brown should have institutional neutrality","Unsure","Very ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 2:17:19 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:18:24 PM EST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Somewhat disagree","Prefer not to answer","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 2:20:19 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, significantly more lonely","I would rather receive a final grade of an S","Yes","Words of affirmation"
"2024/03/06 2:20:21 PM EST","2026","Man","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Strongly agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Gift giving"
"2024/03/06 2:23:31 PM EST","2027","Man","Asian","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 2:23:46 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:26:22 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:27:02 PM EST","2027","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","Unsure","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Acts of service"
"2024/03/06 2:28:23 PM EST","2027","Man","Asian","Humanities/Arts","Strongly agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Physical touch"
"2024/03/06 2:28:26 PM EST","2027","Non-binary","Black;White","Humanities/Arts","Strongly agree","Strongly agree","Unsure","Prefer not to answer","Somewhat effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:31:26 PM EST","2024","Woman","Hispanic or Latino;White","Humanities/Arts;Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 2:32:17 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Unsure","Prefer not to answer","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 2:35:15 PM EST","2024","Woman","Black","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 2:38:35 PM EST","2024","Man","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 2:39:16 PM EST","2025","Man","Black","Life Sciences","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","Unsure","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:40:26 PM EST","2025","Man","Prefer not to answer","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","Unsure","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 2:45:26 PM EST","2027","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Strongly agree","Somewhat disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 2:45:32 PM EST","2025","Man","Middle Eastern or North African","Physical Sciences (including math, computer science)","Strongly agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
"2024/03/06 2:46:57 PM EST","2024","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","Unsure","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:49:00 PM EST","2027","Non-binary","White","Prefer not to answer","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","Prefer not to answer","Somewhat effective","Unsure","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 2:49:01 PM EST","2024","Woman","Black","Humanities/Arts","Somewhat agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:52:10 PM EST","2026","Man","White","Social Sciences (including economics, CLPS)","Strongly disagree","Strongly disagree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:52:23 PM EST","2024","Woman","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat disagree","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 2:54:29 PM EST","2027","Woman","White","Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 2:55:30 PM EST","2026","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Very effective","Yes, slightly more lonely","I would rather receive a final grade of an S","No","Quality time"
"2024/03/06 2:56:13 PM EST","2024","Woman","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Words of affirmation"
"2024/03/06 2:57:14 PM EST","2027","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","Unsure","Unsure","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","Yes","Quality time"
"2024/03/06 2:58:31 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","I identify more closely with capitalist values","Somewhat ineffective","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/06 2:58:53 PM EST","2025","Man","Asian","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","Unsure","Unsure","Unsure","No, slightly less lonely","I would rather receive a final grade of an S","No","Unsure"
"2024/03/06 3:00:51 PM EST","2027","Woman","White","Social Sciences (including economics, CLPS)","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","Unsure","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 3:07:44 PM EST","2027","Woman","Asian","Life Sciences","Somewhat agree","Somewhat agree","Yes, Brown should have institutional neutrality","Prefer not to answer","Very effective","No, slightly less lonely","I would rather receive a final grade of a B","No","Quality time"
"2024/03/06 3:08:19 PM EST","2026","Woman","Asian","Physical Sciences (including math, computer science)","Somewhat disagree","Somewhat disagree","Yes, Brown should have institutional neutrality","Unsure","Somewhat ineffective","Yes, slightly more lonely","I would rather receive a final grade of an S","Yes","Quality time"
"2024/03/06 3:09:50 PM EST","2027","Woman;Non-binary","Asian","Humanities/Arts","Somewhat agree","Somewhat agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","Yes","Acts of service"
"2024/03/06 3:09:50 PM EST","2026","Man","Asian","Humanities/Arts","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with communist values","Very effective","No, significantly less lonely","I would rather receive a final grade of an S","Yes","Physical touch"
"2024/03/06 3:11:16 PM EST","2025","Woman","White","Physical Sciences (including math, computer science)","Strongly agree","Strongly agree","No, Brown should not have institutional neutrality","I identify more closely with capitalist values","Somewhat effective","No, slightly less lonely","I would rather receive a final grade of an S","No","Physical touch"
