"Timestamp","How would you describe your gender identity? Check all that apply.","How would you describe your race and ethnicity? Check all that apply.","How would you describe your sexual orientation? Check all that apply.","What is your current graduation year?","What is your (intended) concentration area(s)?","Do you have a parent, grandparent, or sibling who attended Brown? (Check all that apply)","How concerned are you about the spread of COVID-19 on campus?","Have you ever had a fake ID?","Do you approve or disapprove of the way President Christina Paxson is handling her job?","Are you generally happy?","Are you planning to vote in the November elections?","Agree or disagree: Brown should reduce grade inflation. ","Have you attended a protest in your time at Brown?","Which of the following best describes your current relationship status?","Have you ever cheated on/been cheated on by your significant other? (check all that apply)","Have you had an appointment at Counseling and Psychological Services (CAPS) this semester?","Have you benefited from a program or service provided by the Undergraduate Council of Students (UCS) in your time at Brown?"
"2022/10/12 1:12:58 PM AST","Male","White","Gay","2026","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","I am not eligible to vote","Somewhat disagree","Yes, on campus","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:13:20 PM AST","Nonbinary","Asian","Bisexual;Pansexual;Queer","2025","Humanities/Arts;Social Sciences","No","Somewhat concerned","No","Somewhat disapprove","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","Yes, on campus and in Providence","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:13:36 PM AST","Male","Black","Straight","2026","Unsure","No","Somewhat concerned","No","Somewhat approve","Neither happy nor unhappy","I am not eligible to vote","Neutral","No","Single and not looking for anything","Unsure","No, and I did not try to make an appointment","No"
"2022/10/12 1:20:29 PM AST","Female","Hispanic","Pansexual","2023","Life Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Strongly disagree","Yes, on campus and in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/12 1:20:42 PM AST","Male","Hispanic","Bisexual","2024","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat disapprove","No, somewhat unhappy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","Single and not looking for anything","I have cheated on my significant other;I have been cheated on by my significant other","Yes, more than one week after requesting it","Yes"
"2022/10/12 1:20:47 PM AST","Female","Black;White","Bisexual;Straight","2026","Humanities/Arts;Life Sciences","No","Slightly concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:20:58 PM AST","Male","Hispanic","Bisexual","2026","Humanities/Arts;Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Unsure","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:22:26 PM AST","Female","Black;White","Straight","2025","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","No","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/12 1:22:40 PM AST","Female","Hispanic","Pansexual","2026","Life Sciences","No","Somewhat concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","Yes, on campus","In a casual relationship","Prefer not to answer","No, and I did not try to make an appointment","Yes"
"2022/10/12 1:22:47 PM AST","Male","White","Straight","2025","Physical Sciences (including math, computer science)","Yes, parent;Yes, grandparent","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Neutral","No","Hooking up with multiple people","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:22:48 PM AST","Female","Hispanic","Prefer not to answer","2026","Physical Sciences (including math, computer science);Social Sciences","No","Somewhat concerned","Yes","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:23:05 PM AST","Male","White","Straight","2025","Humanities/Arts","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:25:57 PM AST","Nonbinary","Hispanic","Queer","2026","Humanities/Arts;Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Somewhat disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have cheated on my significant other","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/12 1:26:53 PM AST","Male","Asian","Straight","2023.5","Humanities/Arts;Physical Sciences (including math, computer science)","No","Very concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Somewhat agree","Yes, on campus","In a casual relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:26:57 PM AST","Male","White","Straight","2026","Unsure","No","Not concerned","No","Strongly approve","Yes, very happy","Yes, in Rhode Island (which is my home state)","Unsure","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:29:20 PM AST","Female","Black","Bisexual","2024","Humanities/Arts;Life Sciences","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus and in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","No"
"2022/10/12 1:29:38 PM AST","Male","White","Straight","2024","Life Sciences","Yes, parent","Somewhat concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:31:19 PM AST","Female","White","Straight","2022.5","Humanities/Arts;Independent concentration","No","Somewhat concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus and in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/12 1:32:50 PM AST","Male","Asian","Straight","2026","Life Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/12 1:33:30 PM AST","Male","Asian;White","Straight","2026","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Unsure","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:34:40 PM AST","Nonbinary","Black","Bisexual;Pansexual","2022.5","Humanities/Arts;Social Sciences","No","Very concerned","No","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","No"
"2022/10/12 1:36:44 PM AST","Male","Asian","Straight","2024","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","No, somewhat unhappy","Prefer not to answer","Prefer not to answer","Yes, on campus","Single and looking for a relationship","I have never had a significant other","Yes, more than one week after requesting it","Unsure"
"2022/10/12 1:37:45 PM AST","Male","White","Gay","2026","Physical Sciences (including math, computer science)","Yes, grandparent","Not concerned","No","Somewhat approve","No, somewhat unhappy","Yes, in a state other than Rhode Island","Somewhat agree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:37:55 PM AST","Male","White","Gay","2024","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:39:07 PM AST","Male","Asian","Queer","2025","Life Sciences;Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","Prefer not to answer","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/12 1:39:51 PM AST","Male","White","Straight;Questioning or unsure","2026","Social Sciences","Yes, parent","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Unsure","No","Prefer not to answer","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:40:24 PM AST","Nonbinary","White","Queer","2026","Humanities/Arts;Social Sciences","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","Yes, on campus and in Providence","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:40:50 PM AST","Female","Black","Bisexual","2025","Physical Sciences (including math, computer science)","No","Very concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have never had a significant other","Yes, within one week of requesting it","No"
"2022/10/12 1:40:57 PM AST","Female","Hispanic;White","Straight","2024","Humanities/Arts","No","Somewhat concerned","Yes","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, on campus and in Providence","Prefer not to answer","Prefer not to answer","No, and I did not try to make an appointment","Yes"
"2022/10/12 1:41:20 PM AST","Male","White","Straight","2024","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","No, somewhat unhappy","Yes, in Rhode Island (which is not my home state)","Unsure","Yes, on campus and in Providence","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:42:01 PM AST","Female","Black;White","Bisexual","2025","Humanities/Arts","No","Somewhat concerned","No","Neither approve nor disapprove","No, somewhat unhappy","I am not eligible to vote","Strongly disagree","No","In a long-term relationship","I have cheated on my significant other;I have been cheated on by my significant other","Yes, more than one week after requesting it","No"
"2022/10/12 1:42:53 PM AST","Female","Black;Hispanic","Straight","2026","Physical Sciences (including math, computer science)","No","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/12 1:44:49 PM AST","Male","Middle Eastern or North African;White","Gay","2026","Humanities/Arts","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:44:58 PM AST","Female","Black","Straight","2026","Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in Rhode Island (which is not my home state)","Somewhat disagree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:45:15 PM AST","Male","Black","Prefer not to answer","2026","Unsure","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","No","Somewhat disagree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:46:04 PM AST","Male","Asian","Straight","2026","Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Neither happy nor unhappy","No","Strongly disagree","No","Single and not looking for anything","Unsure","Yes, more than one week after requesting it","No"
"2022/10/12 1:48:44 PM AST","Male","Asian","Asexual;Straight","2026","Life Sciences;Physical Sciences (including math, computer science)","Yes, parent","Not concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:50:39 PM AST","Male","Hispanic;White","Gay","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in Rhode Island (which is my home state)","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","No"
"2022/10/12 1:50:56 PM AST","Female","White","Questioning or unsure","2024","Social Sciences","No","Somewhat concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus and in Providence","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/12 1:51:44 PM AST","Male","Middle Eastern or North African","Bisexual","2024","Physical Sciences (including math, computer science)","No","Not concerned","No","Strongly approve","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a casual relationship","I have cheated on my significant other;Prefer not to answer","No, I wanted to but was unable to make an appointment","Yes"
"2022/10/12 1:52:38 PM AST","Male","White","Straight","2025","Social Sciences","No","Slightly concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for something casual","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:53:16 PM AST","Female","Asian","Straight","2023","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Somewhat approve","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Unsure","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:53:22 PM AST","Female","White","Questioning or unsure","2025","Humanities/Arts;Social Sciences","No","Not concerned","No","Somewhat disapprove","Yes, somewhat happy","No","Somewhat agree","No","In a casual relationship","Unsure","Yes, within one week of requesting it","Unsure"
"2022/10/12 1:55:08 PM AST","Female","Asian","Straight","2025","Physical Sciences (including math, computer science)","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:55:13 PM AST","Male","White","Bisexual;Queer","2024","Social Sciences","No","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:55:17 PM AST","Female","White","Bisexual","2026","Life Sciences","No","Slightly concerned","Prefer not to answer","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 1:56:11 PM AST","Nonbinary","Asian","Queer","2026","Humanities/Arts;Life Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","I am not eligible to vote","Unsure","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 1:57:59 PM AST","Male","White","Straight","2025","Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for something casual","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:59:11 PM AST","Female","Asian","Questioning or unsure","2023","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Strongly disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Unsure"
"2022/10/12 1:59:14 PM AST","Female","White","Bisexual","2025","Humanities/Arts;Social Sciences","No","Not concerned","Yes","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 1:59:57 PM AST","Female","Black","Bisexual","2022.5","Social Sciences","No","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have been cheated on by my significant other","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:00:25 PM AST","Female","White","Bisexual","2025","Physical Sciences (including math, computer science)","No","Somewhat concerned","Yes","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Prefer not to answer","I have never had a significant other","Yes, within one week of requesting it","Yes"
"2022/10/12 2:00:46 PM AST","Nonbinary","White","Bisexual","2026","Social Sciences","No","Somewhat concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:01:25 PM AST","Female","Asian","Queer;Questioning or unsure","2026","Humanities/Arts","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 2:02:20 PM AST","Female","Hispanic","Straight","2026","Physical Sciences (including math, computer science);Social Sciences","No","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:02:23 PM AST","Female","Asian","Straight","2025","Social Sciences","Yes, sibling","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","In a casual relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:02:36 PM AST","Female","White","Bisexual","2026","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:03:17 PM AST","Female","White","Bisexual","2026","Social Sciences","No","Somewhat concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Hooking up with multiple people","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:03:21 PM AST","Male","Asian","Straight","2024","Life Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:03:21 PM AST","Male","White","Gay","2025","Life Sciences;Social Sciences","No","Very concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly agree","Yes, on campus","Single and looking for a relationship","I have never had a significant other","Prefer not to answer","Unsure"
"2022/10/12 2:03:25 PM AST","Female","Asian;White","Questioning or unsure","2025","Social Sciences","No","Not concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","Unsure","Yes, more than one week after requesting it","Yes"
"2022/10/12 2:03:54 PM AST","Female","Asian","Straight","2024","Humanities/Arts;Social Sciences","Yes, parent;Yes, sibling","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:07:28 PM AST","Female","White","Straight","2023","Life Sciences","Yes, sibling","Not concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","Yes, in Providence","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:08:43 PM AST","Female","Prefer not to answer","Straight","2024","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","Prefer not to answer","I have never had a significant other","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:09:34 PM AST","Male","White","Straight","2026","Humanities/Arts;Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:11:23 PM AST","Female","Hispanic;White","Bisexual;Pansexual;Queer","2024","Humanities/Arts;Life Sciences","No","Slightly concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, in Providence","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:12:17 PM AST","Female","Black","Straight","2025","Humanities/Arts","No","Slightly concerned","No","Somewhat approve","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","Single and looking for something casual","Unsure","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:13:01 PM AST","Female","Black;White","Lesbian","2026","Unsure","No","Somewhat concerned","No","Somewhat disapprove","Yes, very happy","I am not eligible to vote","Unsure","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 2:14:54 PM AST","Male","Indian","Straight;Questioning or unsure","2026","Unsure","No","Slightly concerned","No","Neither approve nor disapprove","Yes, very happy","I am not eligible to vote","Strongly disagree","No","Single and looking for something casual","I have never had a significant other","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/12 2:14:58 PM AST","Male","Asian","Straight","2026","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:16:31 PM AST","Female","White","Straight","2023","Life Sciences;Social Sciences","Yes, parent","Not concerned","No","Neither approve nor disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly agree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:17:05 PM AST","Female","Black","Straight","2023","Life Sciences","No","Slightly concerned","Yes","Somewhat approve","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","Yes, on campus","Single and looking for a relationship","I have never had a significant other","No, I wanted to but was unable to make an appointment","Unsure"
"2022/10/12 2:18:12 PM AST","Male","White","Straight","2026","Humanities/Arts;Physical Sciences (including math, computer science)","No","Not concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:19:26 PM AST","Male","White","Gay","2024","Life Sciences;Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","In a casual relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/12 2:19:33 PM AST","Male","Asian","Straight","2025","Unsure","Yes, parent","Slightly concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Neutral","Yes, in Providence","In a casual relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 2:19:44 PM AST","Female","Black","Gay;Queer","2026","Humanities/Arts;Social Sciences","No","Somewhat concerned","No","Prefer not to answer","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","Prefer not to answer","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:20:12 PM AST","Female","Asian","Queer","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","No, very unhappy","Yes, in a state other than Rhode Island","Neutral","No","Single and not looking for anything","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 2:22:10 PM AST","Female","Asian","Straight","2025","Physical Sciences (including math, computer science)","No","Somewhat concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have been cheated on by my significant other","No, I wanted to but was unable to make an appointment","Yes"
"2022/10/12 2:24:21 PM AST","Male","White","Straight;Questioning or unsure","2026","Humanities/Arts;Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Somewhat agree","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","Yes, more than one week after requesting it","Unsure"
"2022/10/12 2:25:17 PM AST","Female","White","Straight","2025","Physical Sciences (including math, computer science)","No","Not concerned","Yes","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, in Providence","Single and looking for a relationship","I have never had a significant other","No, and I did not try to make an appointment","No"
"2022/10/12 2:25:26 PM AST","Female","Asian;White","Straight","2025","Life Sciences","Yes, parent;Yes, grandparent","Slightly concerned","Yes","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Neutral","No","In a casual relationship","I have had a significant other and never cheated/been cheated on","Yes, within one week of requesting it","Unsure"
"2022/10/12 2:26:05 PM AST","Female","Black","Straight","2025","Life Sciences","No","Not concerned","No","Neither approve nor disapprove","Yes, very happy","No","Unsure","No","Prefer not to answer","Prefer not to answer","No, and I did not try to make an appointment","No"
"2022/10/12 2:26:49 PM AST","Male","White","Bisexual","2024","Humanities/Arts","Yes, parent","Not concerned","No","Somewhat approve","Yes, somewhat happy","Yes, in Rhode Island (which is my home state)","Strongly disagree","Prefer not to answer","Hooking up with multiple people","I have been cheated on by my significant other;Unsure","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:28:29 PM AST","Female;Nonbinary","Asian","Bisexual;Queer","2024","Life Sciences;Social Sciences","No","Slightly concerned","No","Somewhat disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Strongly disagree","Yes, on campus","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Yes"
"2022/10/12 2:28:47 PM AST","Female","Asian","Straight","2026","Humanities/Arts","No","Somewhat concerned","No","Somewhat approve","Yes, somewhat happy","I am not eligible to vote","Strongly disagree","No","Single and not looking for anything","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:30:45 PM AST","Female","Asian","Bisexual","2023","Physical Sciences (including math, computer science)","Yes, sibling","Slightly concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a long-term relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:30:47 PM AST","Female","Asian;Native Hawaiian/Pacific Islander;White","Straight","2023","Life Sciences;Social Sciences","No","Not concerned","No","Somewhat disapprove","Yes, very happy","Yes, in a state other than Rhode Island","Somewhat agree","Yes, on campus and in Providence","Prefer not to answer","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","Unsure"
"2022/10/12 2:31:56 PM AST","Male","White","Gay","2026","Social Sciences","No","Slightly concerned","No","Neither approve nor disapprove","Yes, somewhat happy","Yes, in a state other than Rhode Island","Unsure","No","Single and looking for a relationship","I have had a significant other and never cheated/been cheated on","No, and I did not try to make an appointment","No"
"2022/10/12 2:32:06 PM AST","Female","Hispanic","Bisexual","2024.5","Social Sciences","No","Not concerned","No","Neither approve nor disapprove","Neither happy nor unhappy","Yes, in a state other than Rhode Island","Strongly disagree","No","In a casual relationship","I have been cheated on by my significant other","Yes, more than one week after requesting it","Unsure"
