"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Did you vote in the November general election?","Do you think you’re more attractive than the average Brown University student?","If you could go to any undergraduate institution of your choosing (excluding Brown) which would it be?","Would you consider yourself more of a cat person or a dog person?","Do you believe President Joe Biden should run for a second term in 2024?","Do you believe colleges should consider race/ethnicity when making decisions about student admissions?","What is your height in feet/inches?","Opinion: Professors, administrators, and community leaders at Brown should regularly make land acknowledgments."
"2022/11/29 1:49:25 PM AST","2024","Non-binary","Asian;Middle Eastern or North African","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, significantly more attractive","ucla","Cat person","No","Prefer not to answer","6'5","Somewhat agree"
"2022/11/29 1:49:42 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Cat person","No","Yes","6'1","Somewhat agree"
"2022/11/29 1:51:02 PM AST","2023","Female","White","Humanities/Arts","Yes, in Rhode Island, which is my home state","Yes, slightly more attractive","Harvard","Cat person","No","Yes","5'7","Somewhat agree"
"2022/11/29 1:51:22 PM AST","2025","Non-binary","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Dog person","No","Yes","6'0","Strongly agree"
"2022/11/29 1:52:42 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","USC","Dog person","No","Yes","5'10","Somewhat disagree"
"2022/11/29 1:55:48 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No","No, slightly less attractive","MIT","Dog person","Yes","Prefer not to answer","5'10","Somewhat agree"
"2022/11/29 1:56:23 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","No","Prefer not to answer","idk","Dog person","No","Yes","6'1","Unsure"
"2022/11/29 1:57:50 PM AST","2023","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","John's Hopkins","Cat person","Yes","Yes","5'2","Strongly agree"
"2022/11/29 2:01:10 PM AST","2024","Female","Asian;White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford?","Prefer not to answer","No","Yes","5'2","Strongly agree"
"2022/11/29 2:02:22 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Swarthmore","Cat person","No","Yes","6'1","Somewhat agree"
"2022/11/29 2:03:46 PM AST","2023","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Prefer not to answer","No, slightly less attractive","Yale","Cat person","No","Yes","5'4","Strongly agree"
"2022/11/29 2:04:24 PM AST","2024","Female","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Dog person","Prefer not to answer","No","5'2","Unsure"
"2022/11/29 2:04:32 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Emory University","Cat person","Yes","Yes","5'11","Strongly agree"
"2022/11/29 2:04:47 PM AST","2023","Female","White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale, Duke, Wellesley","Dog person","No","Yes","5'5","Somewhat agree"
"2022/11/29 2:06:00 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Prefer not to answer","No","Yes","5'4","Somewhat agree"
"2022/11/29 2:09:21 PM AST","2024","Male","Hispanic;White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","Harvard","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/29 2:09:54 PM AST","2024","Male","Black","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Stanford","Dog person","No","Yes","6'1","Somewhat agree"
"2022/11/29 2:10:41 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","Massachusetts Institute of Technology","Dog person","No","No","5'9","Strongly disagree"
"2022/11/29 2:12:03 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","No clue","Dog person","Yes","Yes","6'3","Strongly agree"
"2022/11/29 2:12:05 PM AST","2024","Female","Asian;White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Washington","Cat person","Yes","Yes","5'7","Strongly agree"
"2022/11/29 2:15:27 PM AST","2022.5","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Yale","Dog person","No","Yes","6'1","Somewhat agree"
"2022/11/29 2:16:24 PM AST","2025","Non-binary","White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","Idk","Dog person","Yes","Yes","5'4","Strongly agree"
"2022/11/29 2:16:40 PM AST","2025","Male","White","Life Sciences","Yes, in a state other than Rhode Island","No, slightly less attractive","UC Berkeley","Cat person","Prefer not to answer","Yes","5'2","Strongly agree"
"2022/11/29 2:17:15 PM AST","2023","Female","Hispanic;White","Humanities/Arts","No","No, slightly less attractive","Yale","Dog person","No","Yes","5'5","Somewhat agree"
"2022/11/29 2:18:44 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Carleton College","Cat person","Yes","Yes","5'11","Unsure"
"2022/11/29 2:20:17 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","pomona","Dog person","No","Yes","5'7","Strongly agree"
"2022/11/29 2:21:52 PM AST","2023","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Princeton","Dog person","No","No","6'0","Somewhat disagree"
"2022/11/29 2:22:17 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","Prefer not to answer","Yes, slightly more attractive","NYU","Prefer not to answer","Yes","No","5'11","Strongly agree"
"2022/11/29 2:24:20 PM AST","2023","Female","White","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","No, slightly less attractive","Harvard","Dog person","No","Yes","5'2","Somewhat agree"
"2022/11/29 2:24:33 PM AST","2023","Female","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","stanford but id be more depressed (this is with a gun to my head)","Cat person","Prefer not to answer","Yes","5'2","Somewhat agree"
"2022/11/29 2:26:41 PM AST","2026","Female","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","Yes, slightly more attractive","Stanford","Cat person","Prefer not to answer","Yes","5'7","Somewhat agree"
"2022/11/29 2:27:01 PM AST","2023","Female","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale University","Dog person","No","Yes","5'7","Somewhat agree"
"2022/11/29 2:27:50 PM AST","2026","Female","Hispanic;Native American/Alaska Native","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","UConn","Cat person","Yes","Yes","5'4","Strongly agree"
"2022/11/29 2:29:29 PM AST","2026","Female","Black","Humanities/Arts","No","Prefer not to answer","Howard","Dog person","Prefer not to answer","No","5'9","Strongly agree"
"2022/11/29 2:32:20 PM AST","2024.5","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Cat person","No","Yes","6'0","Somewhat agree"
"2022/11/29 2:33:01 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Prefer not to answer","No","No","5'10","Strongly disagree"
"2022/11/29 2:34:40 PM AST","2026","Female","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Tufts","Dog person","Prefer not to answer","Prefer not to answer","5'3","Strongly agree"
"2022/11/29 2:34:55 PM AST","2023","Male","Middle Eastern or North African","Physical Sciences (including math, computer science)","I am not eligible to vote","No, significantly less attractive","COLUMBIA","Dog person","No","Yes","6'2","Strongly agree"
"2022/11/29 2:36:06 PM AST","2023","Male","White","Humanities/Arts","No","No, slightly less attractive","Uchicago","Dog person","Yes","Yes","6'0","Strongly agree"
"2022/11/29 2:36:19 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","Yes","Yes","5'8","Strongly agree"
"2022/11/29 2:36:38 PM AST","2026","Male","Asian;Hispanic;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Dog person","Yes","Yes","5'8","Somewhat agree"
"2022/11/29 2:38:01 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","UC Berkeley","Cat person","No","Yes","5'11","Strongly agree"
"2022/11/29 2:38:30 PM AST","2025","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Harvard","Dog person","No","Yes","6'3","Somewhat agree"
"2022/11/29 2:38:46 PM AST","2025","Male","Black","Life Sciences","No","No, significantly less attractive","brown","Dog person","Yes","Yes","6'3","Strongly agree"
"2022/11/29 2:40:39 PM AST","2024","Female","Hispanic","Humanities/Arts;Life Sciences","No","Yes, slightly more attractive","Haverford","Dog person","Prefer not to answer","Yes","5'3","Strongly agree"
"2022/11/29 2:43:21 PM AST","2026","Male","Asian;White","Physical Sciences (including math, computer science)","I am not eligible to vote","No, significantly less attractive","MIT","Cat person","No","No","5'9","Unsure"
"2022/11/29 2:45:22 PM AST","2024","Male","Middle Eastern or North African","Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Columbia","Cat person","No","No","5'6","Somewhat disagree"
"2022/11/29 2:46:38 PM AST","2023","Male","White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Boston College","Cat person","No","Yes","5'10","Somewhat agree"
"2022/11/29 2:47:18 PM AST","2025","Male","White","Life Sciences","No","No, slightly less attractive","Harvard","Cat person","No","No","6'1","Strongly disagree"
"2022/11/29 2:47:41 PM AST","2025","Male","Middle Eastern or North African","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, significantly more attractive","USC","Dog person","No","Yes","6'2","Strongly disagree"
"2022/11/29 2:48:59 PM AST","2023","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","No, slightly less attractive","Stanford","Cat person","No","Yes","5'6","Strongly disagree"
"2022/11/29 2:49:55 PM AST","2025","Male","Black","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Harvard","Dog person","No","Yes","6'2","Strongly agree"
"2022/11/29 2:52:27 PM AST","2026","Male","Asian","Humanities/Arts","No","Yes, slightly more attractive","Yale","Dog person","No","Yes","5'9","Somewhat agree"
"2022/11/29 2:55:37 PM AST","2025","Female","Asian;Hispanic","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Amherst","Dog person","Yes","Yes","5'1","Strongly agree"
"2022/11/29 2:55:58 PM AST","2024","Female","White","Humanities/Arts;Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","university of melbourne","Cat person","No","Yes","5'5","Strongly agree"
"2022/11/29 2:56:43 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Cat person","No","Yes","6'0","Somewhat agree"
"2022/11/29 2:58:09 PM AST","2025","Female","Asian","Physical Sciences (including math, computer science)","No","No, slightly less attractive","Idk","Cat person","Yes","No","5'6","Somewhat agree"
"2022/11/29 2:59:18 PM AST","2025","Female","Asian","Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","Emory","Dog person","Yes","No","5'3","Somewhat agree"
"2022/11/29 2:59:18 PM AST","2024","Male","Asian;White","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Cat person","No","Yes","6'0","Somewhat disagree"
"2022/11/29 2:59:57 PM AST","2023","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Dog person","Yes","Yes","6'8","Somewhat agree"
"2022/11/29 3:02:43 PM AST","2025","Female","Middle Eastern or North African","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","Yale ","Dog person","Yes","Yes","5'7","Unsure"
"2022/11/29 3:03:09 PM AST","2023","Female","White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Bowdoin","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/29 3:06:03 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Yale or WashU","Dog person","Yes","Yes","6'1","Somewhat agree"
"2022/11/29 3:06:58 PM AST","2026","Male","Asian;White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","USC","Dog person","No","No","6'3","Unsure"
"2022/11/29 3:07:48 PM AST","2026","Male","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","No","No, slightly less attractive","stanford","Cat person","Prefer not to answer","Yes","6'0","Somewhat agree"
"2022/11/29 3:08:27 PM AST","2026","Female","Black","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Cat person","No","Yes","5'2","Strongly agree"
"2022/11/29 3:10:07 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","MIT","Dog person","No","No","5'10","Somewhat agree"
"2022/11/29 3:10:31 PM AST","2024","Non-binary","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Middlebury","Cat person","Yes","Yes","5'2","Somewhat agree"
"2022/11/29 3:12:54 PM AST","2024","Male","Hispanic;White","Humanities/Arts","No","Yes, slightly more attractive","Stanford","Dog person","Yes","Yes","5'7","Somewhat agree"
"2022/11/29 3:12:56 PM AST","2025","Female","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, significantly less attractive","Davidson College","Dog person","No","Yes","5'5","Unsure"
"2022/11/29 3:14:06 PM AST","2025","Female","White","Life Sciences","I am not eligible to vote","No, slightly less attractive","Minerva University","Cat person","Prefer not to answer","Yes","5'10","Somewhat agree"
"2022/11/29 3:14:17 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","Yale","Dog person","Yes","No","5'4","Strongly agree"
"2022/11/29 3:14:40 PM AST","2025","Male","White","Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Stanford","Cat person","No","No","5'8","Somewhat disagree"
"2022/11/29 3:15:48 PM AST","2023","Female","Asian;White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","Yale","Dog person","No","Yes","5'2","Strongly agree"
"2022/11/29 3:17:34 PM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","I am not eligible to vote","No, slightly less attractive","Princeton","Prefer not to answer","Yes","Yes","5'10","Unsure"
"2022/11/29 3:17:46 PM AST","2023","Male","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Prefer not to answer","Yes","Yes","5'8","Somewhat disagree"
"2022/11/29 3:17:50 PM AST","2024","Male","Black","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","NYU","Dog person","Yes","Yes","5'9","Somewhat agree"
"2022/11/29 3:19:18 PM AST","2024","Male","Black","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Stanford","Dog person","Prefer not to answer","Yes","5'3","Strongly agree"
"2022/11/29 3:19:50 PM AST","2023","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Georgetown","Dog person","No","Yes","5'6","Somewhat disagree"
"2022/11/29 3:20:29 PM AST","2025","Female","Asian","Social Sciences (including economics, CLPS)","I am not eligible to vote","Prefer not to answer","Yale","Dog person","Prefer not to answer","Prefer not to answer","5'4","Somewhat agree"
"2022/11/29 3:21:08 PM AST","2024","Female","Hispanic;White","Life Sciences","Yes, in a state other than Rhode Island","Yes, slightly more attractive","dont know","Cat person","No","Yes","5'3","Strongly agree"
"2022/11/29 3:23:47 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","MIT","Dog person","No","No","5'10","Somewhat agree"
"2022/11/29 3:24:09 PM AST","2023","Prefer not to answer","Prefer not to answer","Prefer not to answer","Yes, in a state other than Rhode Island","No, slightly less attractive","what","Cat person","No","No","5'5","Unsure"
"2022/11/29 3:24:25 PM AST","2023","a","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","mit","Cat person","Prefer not to answer","Yes","5'6","Strongly disagree"
"2022/11/29 3:25:30 PM AST","2023.5","Female","Black","Life Sciences;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Standford","Dog person","No","Yes","5'3","Somewhat agree"
"2022/11/29 3:25:35 PM AST","2024","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Stanford","Dog person","No","Yes","5'11","Unsure"
"2022/11/29 3:26:14 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Northwestern","Cat person","Yes","Yes","6'0","Strongly agree"
"2022/11/29 3:27:56 PM AST","2025","Female","Asian;Black;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","Brown ","Dog person","No","Yes","6'4","Somewhat agree"
"2022/11/29 3:28:04 PM AST","2025","Female","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Georgetown","Dog person","Yes","Yes","5'7","Strongly agree"
"2022/11/29 3:30:12 PM AST","2024","Female","White","Social Sciences (including economics, CLPS)","No","No, significantly less attractive","Vassar ","Prefer not to answer","No","No","5'7","Unsure"
"2022/11/29 3:30:30 PM AST","2025","Female","Black;White","Humanities/Arts","No","Yes, slightly more attractive","NYU","Dog person","Yes","Yes","5'8","Somewhat agree"
"2022/11/29 3:31:57 PM AST","2024","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","Yale","Dog person","Prefer not to answer","Yes","5'7","Strongly agree"
"2022/11/29 3:32:48 PM AST","2023.5","Female","White","Life Sciences","Yes, in Rhode Island, which is my home state","Yes, significantly more attractive","none","Prefer not to answer","No","No","6'2","Somewhat disagree"
"2022/11/29 3:40:54 PM AST","2024","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","UC Berkeley","Dog person","No","No","6'2","Somewhat disagree"
"2022/11/29 3:43:01 PM AST","2025","Male","Asian","Humanities/Arts","I am not eligible to vote","No, slightly less attractive","UChicago","Dog person","Prefer not to answer","Yes","5'6","Somewhat agree"
"2022/11/29 3:46:50 PM AST","2026","Male","Asian","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science)","No","No, slightly less attractive","Northwestern","Dog person","No","Yes","5'8","Somewhat agree"
"2022/11/29 3:49:44 PM AST","2026","Female","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Stanford","Dog person","Yes","Prefer not to answer","5'6","Strongly agree"
"2022/11/29 3:55:43 PM AST","2024","Male","White","Humanities/Arts","Yes, in a state other than Rhode Island","Yes, slightly more attractive","bruh no brown duh ok but maybe if not brown northeastern bc they woulda gave me more money","Dog person","No","Yes","6'1","Strongly agree"
"2022/11/29 3:56:37 PM AST","2025","Male","White","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","No, slightly less attractive","Tufts","Cat person","No","Yes","5'8","Somewhat agree"
"2022/11/29 3:58:43 PM AST","2023","Female","White","Life Sciences","No","No, slightly less attractive","northeastern","Cat person","No","Yes","5'4","Somewhat agree"
"2022/12/01 10:07:08 AM AST","2024","Female","Black","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","Yes, significantly more attractive","Swag University","Cat person","Prefer not to answer","Yes","5'7","Strongly agree"
"2022/12/01 10:10:59 AM AST","2026","Male","Middle Eastern or North African","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","UCLA","Dog person","No","Yes","5'10","Strongly agree"
"2022/12/01 10:17:08 AM AST","2025","Male","Asian","Physical Sciences (including math, computer science)","No","Prefer not to answer","upenn","Dog person","No","Prefer not to answer","6'0","Unsure"
"2022/12/01 10:19:12 AM AST","2023","Female","Black","Social Sciences (including economics, CLPS)","No","No, slightly less attractive","University of Maryland ","Dog person","No","No","5'8","Strongly agree"
"2022/12/01 10:23:02 AM AST","2025","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Stanford University","Prefer not to answer","Yes","Yes","5'6","Somewhat agree"
"2022/12/01 10:25:02 AM AST","2024","Male","Asian","Life Sciences;Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Harvard","Cat person","No","Yes","5'10","Strongly agree"
"2022/12/01 10:27:38 AM AST","2025","Female","Asian","Life Sciences;Physical Sciences (including math, computer science)","No","No, significantly less attractive","MIT","Dog person","Yes","Yes","5'1","Strongly agree"
"2022/12/01 10:33:14 AM AST","2026","Female","Hispanic","Humanities/Arts","Yes, in Rhode Island, which is not my home state","Prefer not to answer","UPenn or Yale","Dog person","Yes","Yes","5'2","Strongly agree"
"2022/12/01 10:33:39 AM AST","2026","Male","Hispanic","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","I am not eligible to vote","Yes, slightly more attractive","Brown's always been my #1, but if it wasn't brown maybe a liberal arts school or stanford","Cat person","No","Yes","5'8","Strongly agree"
"2022/12/01 10:41:57 AM AST","2024.5","Male","Asian","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","UCLA","Dog person","Yes","No","5'8","Somewhat agree"
"2022/12/01 10:48:27 AM AST","2025","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No","Yes, slightly more attractive","Harvard","Dog person","No","No","6'2","Somewhat disagree"
"2022/12/01 10:56:53 AM AST","2024","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No","Yes, significantly more attractive","RISD","Cat person","Prefer not to answer","Yes","5'4","Somewhat agree"
"2022/12/01 10:57:09 AM AST","2025","Female","Hispanic","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","Yes, slightly more attractive","Providence college","Dog person","Yes","Prefer not to answer","5'4","Strongly agree"
"2022/12/01 10:58:56 AM AST","2026","Female","Black;White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","Hamilton College","Cat person","No","Yes","5'2","Somewhat agree"
"2022/12/01 11:10:39 AM AST","2024","Male","White","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","Yale","Dog person","No","No","5'11","Somewhat agree"
"2022/12/01 11:15:28 AM AST","2023","Male","White","Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is my home state","No, slightly less attractive","Northeastern","Cat person","No","Yes","5'5","Strongly agree"
"2022/12/01 11:21:04 AM AST","2026","Female","White","Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","yale","Cat person","No","No","6'0","Prefer not to answer"
"2022/12/01 11:22:48 AM AST","2024","Male","White","Life Sciences;Physical Sciences (including math, computer science)","Yes, in Rhode Island, which is not my home state","Yes, slightly more attractive","Amherst","Dog person","No","Prefer not to answer","6'0","Somewhat agree"
"2022/12/01 11:24:48 AM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Massachusetts","Dog person","No","Yes","5'4","Strongly agree"
"2022/12/01 11:26:53 AM AST","2024","Female","White","Humanities/Arts","Yes, in a state other than Rhode Island","No, slightly less attractive","Northwestern University","Dog person","No","Yes","5'8","Somewhat agree"
"2022/12/01 11:28:26 AM AST","2024","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","UCLA","Dog person","No","Yes","5'7","Somewhat agree"
"2022/12/01 11:30:41 AM AST","2024","Female","Asian","Physical Sciences (including math, computer science)","No","No, significantly less attractive","Princeton","Cat person","Prefer not to answer","No","5'9","Strongly agree"
"2022/12/01 11:33:19 AM AST","2024","Female","Asian","Physical Sciences (including math, computer science)","No","Prefer not to answer","UCB","Dog person","Prefer not to answer","No","5'9","Somewhat agree"
"2022/12/01 11:35:14 AM AST","2026","Male","Black","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Amherst College","Dog person","No","Yes","5'8","Strongly agree"
"2022/12/01 11:37:46 AM AST","2025","Male","Middle Eastern or North African","Humanities/Arts;Social Sciences (including economics, CLPS)","I am not eligible to vote","No, slightly less attractive","American University of Beirut ","Cat person","Yes","No","5'7","Strongly agree"
"2022/12/01 11:44:44 AM AST","2024","Male","White","Physical Sciences (including math, computer science)","No","Yes, slightly more attractive","CalTech","Cat person","No","No","5'10","Strongly disagree"
"2022/12/01 11:48:17 AM AST","2024","Non-binary","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","No","No, slightly less attractive","Wellesley","Dog person","No","No","5'3","Strongly disagree"
"2022/12/01 11:53:32 AM AST","2023","Male","White","Life Sciences","Yes, in a state other than Rhode Island","Prefer not to answer","Johns Hopkins","Dog person","No","Prefer not to answer","6'0","Strongly agree"
"2022/12/01 11:57:26 AM AST","2024","Male","White","Humanities/Arts;Life Sciences","No","No, slightly less attractive","Yale?","Dog person","Yes","No","5'9","Somewhat disagree"
"2022/12/01 12:11:38 PM AST","2024","Female","White","Life Sciences;Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, significantly less attractive","William & Mary","Dog person","No","Yes","5'2","Strongly agree"
"2022/12/01 12:19:09 PM AST","2025","Male","Hispanic","Social Sciences (including economics, CLPS)","No","Yes, significantly more attractive","Penn","Dog person","No","Yes","6'5","Strongly disagree"
"2022/12/01 12:20:05 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Yale","Cat person","No","Yes","5'7","Unsure"
"2022/12/01 12:20:11 PM AST","2026","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, in a state other than Rhode Island","Prefer not to answer","Oxford","Cat person","Yes","Yes","5'9","Strongly agree"
"2022/12/01 12:21:19 PM AST","2024","Female","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","No","No, slightly less attractive","not in the us","Cat person","Prefer not to answer","No","5'7","Unsure"
"2022/12/01 12:22:39 PM AST","2026","Male","White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","University of Michigan","Dog person","No","No","6'2","Strongly agree"
"2022/12/01 12:22:43 PM AST","2026","Male","Asian;White","Life Sciences;Physical Sciences (including math, computer science)","I am not eligible to vote","Yes, slightly more attractive","Duke","Dog person","Prefer not to answer","Yes","5'11","Unsure"
"2022/12/01 12:23:31 PM AST","2023","Male","Asian","Life Sciences","Yes, in Rhode Island, which is not my home state","No, slightly less attractive","Notre Dame ","Dog person","Yes","Yes","6'0","Unsure"
"2022/12/01 12:23:59 PM AST","2025","Female","Asian;White","Social Sciences (including economics, CLPS)","Yes, in a state other than Rhode Island","No, slightly less attractive","Stanford","Dog person","No","Yes","5'3","Strongly agree"
