"Timestamp","What is your current graduation year?","What is your (intended) concentration area(s)?","How would you describe your gender identity? Check all that apply.","Which of the following do you consider yourself to be?","How would you describe your race and ethnicity? Check all that apply.","Do you participate in athletics at Brown? Select all that apply.","How would you describe your political views?","Would you drop out of Brown for a million dollars? (You cannot enroll elsewhere)","To what extent do you agree with the following statement: Our country needs to reduce political correctness and cancel culture.","Which would you rather have guaranteed upon graduation?","Have you ever ended a friendship over a difference in political opinion?","Do you consider yourself neurodivergent?","How serious a problem do you think illegal immigration is for the United States right now?","To what extent do you agree with the following statement: I feel satisfied with my social experience at Brown.","Would you rather die now or live forever?"
"2024/11/19 3:54:02 PM EST","2027","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Queer","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:54:07 PM EST","2027","Humanities/Arts","Woman","Queer;Other LGBTQ+","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Strongly disagree","Dream job","Unsure","Yes","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:54:50 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/19 3:55:06 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Unsure","Unsure","Somewhat agree","Die now"
"2024/11/19 3:55:13 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Hispanic or Latino","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Dream job","No","Unsure","Not too serious","Somewhat agree","Live forever"
"2024/11/19 3:55:22 PM EST","2025","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Dream job","Unsure","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 3:55:29 PM EST","2025","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","No","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 3:55:49 PM EST","2025","Humanities/Arts;Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Strongly disagree","Dream job","Yes","Yes","Not at all serious","Strongly agree","Live forever"
"2024/11/19 3:56:43 PM EST","2025","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/19 3:57:09 PM EST","2026","Humanities/Arts","Man","Straight","White","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Not at all serious","Somewhat agree","Prefer not to answer"
"2024/11/19 3:57:41 PM EST","2025","Physical Sciences (including math, computer science)","Woman","Bisexual","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:58:14 PM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","Prefer not to answer","Moderate","Yes","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:58:17 PM EST","2028","Social Sciences (including economics, CLPS)","Woman;Questioning","Bisexual","Asian;Hispanic or Latino","Yes, club athletics","Very liberal","Yes","Strongly disagree","Dream job","No","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/19 3:59:16 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","No","Yes","Not too serious","Strongly agree","Die now"
"2024/11/19 3:59:32 PM EST","2025","Life Sciences","Woman","Bisexual","Native Hawaiian or Pacific Islander","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","Yes","Not at all serious","Somewhat agree","Die now"
"2024/11/19 3:59:44 PM EST","2025","Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","Unsure","Not too serious","Strongly agree","Die now"
"2024/11/19 4:00:01 PM EST","2027","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Dream job","Yes","Yes","Not too serious","Somewhat disagree","Live forever"
"2024/11/19 4:00:01 PM EST","2027","Humanities/Arts","Man","Questioning","Black;Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Yes","Not too serious","Somewhat agree","Live forever"
"2024/11/19 4:00:43 PM EST","2025","Physical Sciences (including math, computer science)","Man","Bisexual","Hispanic or Latino","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Dream job","Yes","No","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 4:01:11 PM EST","2026","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Straight","Asian;White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/19 4:01:11 PM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat disagree","Dream job","Unsure","No","Not too serious","Somewhat agree","Die now"
"2024/11/19 4:01:52 PM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Bisexual","Asian","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/19 4:02:21 PM EST","2028","Social Sciences (including economics, CLPS)","Woman","Questioning","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Prefer not to answer"
"2024/11/19 4:02:46 PM EST","2025","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","Yes","Unsure","Not at all serious","Somewhat agree","Live forever"
"2024/11/19 4:03:50 PM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:06:35 AM EST","2027","Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:08:19 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Asian","Yes, club athletics","Liberal","No","Somewhat disagree","Ideal romantic partner","Unsure","No","Not at all serious","Somewhat agree","Die now"
"2024/11/20 10:09:19 AM EST","2026","Humanities/Arts","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly disagree","Ideal romantic partner","Yes","No","Not at all serious","Somewhat agree","Die now"
"2024/11/20 10:09:42 AM EST","2028","Life Sciences","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:10:44 AM EST","2027","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Straight","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat disagree","Live forever"
"2024/11/20 10:12:47 AM EST","2027","Humanities/Arts","Woman","Lesbian","Black;Hispanic or Latino","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Ideal romantic partner","No","Yes","Not too serious","Strongly agree","Live forever"
"2024/11/20 10:14:41 AM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","White","Yes, varsity athletics","Moderate","Yes","Somewhat agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 10:15:07 AM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/20 10:16:37 AM EST","2026","Humanities/Arts","Woman","Straight;Questioning","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Yes","Unsure","Not too serious","Strongly agree","Die now"
"2024/11/20 10:16:44 AM EST","2028","Prefer not to answer","Woman","Lesbian;Asexual;Queer;Other LGBTQ+","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat agree","Dream job","No","Yes","Not too serious","Strongly agree","Die now"
"2024/11/20 10:18:23 AM EST","2026","Life Sciences","Man","Straight","Asian;White","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Dream job","Yes","Prefer not to answer","Very serious","Somewhat agree","Live forever"
"2024/11/20 10:18:46 AM EST","2028","Life Sciences","Woman","Asexual;Queer","Asian","Yes, club athletics","Very liberal","No","Somewhat agree","Dream job","Unsure","Unsure","Not too serious","Strongly agree",""
"2024/11/20 10:23:28 AM EST","2028","Humanities/Arts","Non-binary","Asexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","Yes","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:23:57 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Dream job","Yes","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 10:24:41 AM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Woman","Bisexual","Asian;Black;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","No","Not at all serious","Strongly agree","Die now"
"2024/11/20 10:25:43 AM EST","2026.5","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Prefer not to answer","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly disagree","Die now"
"2024/11/20 10:26:56 AM EST","2027","Life Sciences;Physical Sciences (including math, computer science)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly disagree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:28:01 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Straight","Hispanic or Latino","Yes, varsity athletics","Moderate","No","Strongly agree","Dream job","No","No","Very serious","Strongly agree","Live forever"
"2024/11/20 10:28:51 AM EST","2027","Life Sciences","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Prefer not to answer","Somewhat agree","Ideal romantic partner","Unsure","Unsure","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:30:16 AM EST","2026","Physical Sciences (including math, computer science)","Man","Prefer not to answer","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Unsure","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/20 10:32:05 AM EST","2025","Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/20 10:32:54 AM EST","2025","Social Sciences (including economics, CLPS)","Man","Bisexual","Hispanic or Latino","Prefer not to answer","Very liberal","Yes","Somewhat disagree","Dream job","No","No","Not at all serious","Somewhat agree","Die now"
"2024/11/20 10:38:26 AM EST","2028","Humanities/Arts;Physical Sciences (including math, computer science)","Woman","Bisexual;Queer","Asian;Black;White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","Yes","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:38:34 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Die now"
"2024/11/20 10:39:13 AM EST","2026","Physical Sciences (including math, computer science)","Man","Questioning","Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Strongly disagree","Dream job","Unsure","Unsure","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:41:02 AM EST","2027","Life Sciences;Physical Sciences (including math, computer science)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/20 10:44:02 AM EST","2028","Life Sciences","Woman","Straight","White","Yes, varsity athletics","Prefer not to answer","Yes","Prefer not to answer","Ideal romantic partner","No","No","Prefer not to answer","Strongly agree","Live forever"
"2024/11/20 10:44:02 AM EST","2028","Life Sciences","Woman","Straight","White","Yes, varsity athletics","Prefer not to answer","Yes","Prefer not to answer","Dream job","No","No","Prefer not to answer","Strongly agree","Live forever"
"2024/11/20 10:46:58 AM EST","2027","Life Sciences;Social Sciences (including economics, CLPS)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat agree","Dream job","No","No","Very serious","Strongly agree","Die now"
"2024/11/20 10:47:11 AM EST","2028","Life Sciences","Man","Gay","Black;Hispanic or Latino","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/20 10:48:58 AM EST","2026","Life Sciences","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Dream job","No","Yes","Not at all serious","Somewhat agree","Live forever"
"2024/11/20 10:49:16 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","Yes","No","Not too serious","Somewhat disagree","Live forever"
"2024/11/20 10:49:33 AM EST","2026","Life Sciences","Woman","Lesbian","White","Yes, varsity athletics","Very liberal","No","Strongly agree","Dream job","No","No","Unsure","Strongly agree","Die now"
"2024/11/20 10:50:02 AM EST","2028","Social Sciences (including economics, CLPS)","Man","Straight","White","Yes, club athletics","Moderate","Yes","Somewhat agree","Dream job","No","No","Unsure","Somewhat agree","Live forever"
"2024/11/20 10:50:31 AM EST","2025","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Live forever"
"2024/11/20 10:51:04 AM EST","2028","Life Sciences;Social Sciences (including economics, CLPS)","Man","Queer","White","Yes, varsity athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:51:17 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Pansexual","Black","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","Yes","Unsure","Not at all serious","Somewhat agree","Die now"
"2024/11/20 10:51:20 AM EST","2028","Humanities/Arts","Man","Straight","White","Yes, club athletics","Unsure","No","Strongly agree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 10:52:10 AM EST","2028","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Conservative","Yes","Strongly agree","Dream job","Unsure","Yes","Very serious","Somewhat agree","Die now"
"2024/11/20 10:52:16 AM EST","2027","Humanities/Arts;Life Sciences","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:52:55 AM EST","2028","Humanities/Arts;Life Sciences","Man","Straight","Asian","Yes, club athletics","Conservative","No","Strongly agree","Ideal romantic partner","No","Yes","Somewhat serious","Strongly agree","Live forever"
"2024/11/20 10:53:09 AM EST","2028","Physical Sciences (including math, computer science)","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","Prefer not to answer","Somewhat disagree","Dream job","No","Yes","Not at all serious","Strongly disagree","Die now"
"2024/11/20 10:53:21 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Asexual","Asian","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","No","Yes","Not too serious","Strongly agree","Prefer not to answer"
"2024/11/20 10:54:32 AM EST","2028","Life Sciences","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 10:55:35 AM EST","2025","Social Sciences (including economics, CLPS)","Woman","Bisexual;Queer","Asian;White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:56:13 AM EST","2028","Life Sciences","Non-binary","Prefer not to answer","Prefer not to answer","No, I do not participate in varsity or club athletics","Moderate","Prefer not to answer","Strongly disagree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 10:56:15 AM EST","2025","Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 10:58:40 AM EST","2025","Humanities/Arts","Woman","Lesbian","White","Yes, club athletics","Very liberal","No","Strongly disagree","Dream job","Yes","Unsure","Not at all serious","Somewhat agree","Live forever"
"2024/11/20 10:58:43 AM EST","2028","Humanities/Arts;Social Sciences (including economics, CLPS)","Woman","Bisexual","Hispanic or Latino;White","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 11:00:25 AM EST","2027.5","Physical Sciences (including math, computer science)","Man","Straight","Asian;Black","Yes, club athletics","Moderate","Yes","Somewhat disagree","Ideal romantic partner","No","No","Not at all serious","Strongly agree","Prefer not to answer"
"2024/11/20 11:01:07 AM EST","2028","Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Unsure","No","Unsure","Strongly agree","Die now"
"2024/11/20 11:01:27 AM EST","2027","Humanities/Arts","Man","Straight","White","Yes, club athletics","Very liberal","No","Strongly disagree","Dream job","Unsure","No","Not too serious","Strongly disagree","Die now"
"2024/11/20 11:02:41 AM EST","2027","Social Sciences (including economics, CLPS)","Woman","Straight","White","Yes, varsity athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","Unsure","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/20 11:02:52 AM EST","2027","Humanities/Arts;Physical Sciences (including math, computer science)","Man","Gay","Black","No, I do not participate in varsity or club athletics","Very conservative","Prefer not to answer","Strongly agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 11:07:21 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Man","Gay","White","No, I do not participate in varsity or club athletics","Moderate","No","Strongly agree","Ideal romantic partner","No","No","Very serious","Somewhat agree","Live forever"
"2024/11/20 11:09:28 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Ideal romantic partner","Unsure","No","Not too serious","Somewhat agree","Prefer not to answer"
"2024/11/20 11:12:46 AM EST","2028","Life Sciences","Man","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat disagree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 11:13:06 AM EST","2028","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Straight","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Moderate","Yes","Somewhat agree","Dream job","Yes","No","Unsure","Somewhat agree","Die now"
"2024/11/20 11:13:09 AM EST","2028","Physical Sciences (including math, computer science)","Man","Straight","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Unsure","No","Somewhat agree","Dream job","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/20 11:18:13 AM EST","2025","Social Sciences (including economics, CLPS)","Man","Gay","White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat agree","Ideal romantic partner","Yes","Yes","Not at all serious","Strongly agree","Live forever"
"2024/11/20 11:18:54 AM EST","2026","Life Sciences;Physical Sciences (including math, computer science)","Man","Straight","White","No, I do not participate in varsity or club athletics","Very conservative","No","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 11:19:40 AM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","Hispanic or Latino;White","Yes, club athletics","Liberal","No","Somewhat disagree","Dream job","Unsure","No","Unsure","Somewhat agree","Live forever"
"2024/11/20 11:22:44 AM EST","2027","Humanities/Arts","Man","Straight","White","Yes, club athletics","Conservative","Yes","Somewhat agree","Ideal romantic partner","No","No","Very serious","Somewhat agree","Live forever"
"2024/11/20 11:27:14 AM EST","2027","Physical Sciences (including math, computer science)","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Dream job","No","No","Somewhat serious","Strongly disagree","Live forever"
"2024/11/20 11:27:32 AM EST","2026","Physical Sciences (including math, computer science)","Man","Straight","Asian;White","Yes, club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","Unsure","Not too serious","Somewhat disagree","Live forever"
"2024/11/20 11:31:04 AM EST","2028","Physical Sciences (including math, computer science)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Very serious","Somewhat agree","Die now"
"2024/11/20 11:31:37 AM EST","2025","Social Sciences (including economics, CLPS)","Man","Gay","White","Yes, club athletics;No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 11:34:25 AM EST","2025","Life Sciences","Woman","Bisexual","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","Yes","No","Not too serious","Somewhat agree","Die now"
"2024/11/20 11:34:38 AM EST","2028","Life Sciences","Man","Straight","White","No, I do not participate in varsity or club athletics","Moderate","Yes","Strongly agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/20 11:34:49 AM EST","2028","Humanities/Arts","Woman","Straight","White","Yes, club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Not too serious","Strongly agree","Die now"
"2024/11/20 11:40:42 AM EST","2027","Life Sciences","Man","Straight","Black","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat agree","Ideal romantic partner","No","No","Somewhat serious","Strongly agree","Die now"
"2024/11/20 11:41:50 AM EST","2025","Humanities/Arts","Man","Straight","White","No, I do not participate in varsity or club athletics","Very liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Die now"
"2024/11/20 11:43:07 AM EST","2026","Humanities/Arts;Life Sciences","Man","Straight","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Strongly agree","Die now"
"2024/11/20 11:44:49 AM EST","2025","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Woman","Queer","Asian","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly disagree","Dream job","Yes","No","Not at all serious","Strongly agree","Die now"
"2024/11/20 11:47:47 AM EST","2025","Life Sciences","Woman","Straight","Prefer not to answer","No, I do not participate in varsity or club athletics","Moderate","No","Somewhat disagree","Dream job","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 11:48:20 AM EST","2027","Humanities/Arts;Life Sciences","Woman","Straight;Questioning","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","Prefer not to answer","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 11:49:30 AM EST","2028","Life Sciences;Social Sciences (including economics, CLPS)","Woman","Straight","Asian;White","No, I do not participate in varsity or club athletics","Liberal","Yes","Somewhat disagree","Dream job","No","No","Unsure","Strongly agree","Live forever"
"2024/11/20 11:50:28 AM EST","2027","Social Sciences (including economics, CLPS)","Man","Straight","Middle Eastern or North African","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Prefer not to answer","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/20 11:53:29 AM EST","2027","Social Sciences (including economics, CLPS)","Man","Queer","Asian;Black","No, I do not participate in varsity or club athletics","Liberal","No","Strongly disagree","Dream job","Yes","No","Not too serious","Somewhat agree","Prefer not to answer"
"2024/11/20 11:55:04 AM EST","2028","Humanities/Arts","Woman","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","No","Strongly agree","Ideal romantic partner","Yes","No","Not too serious","Strongly agree","Die now"
"2024/11/20 11:55:04 AM EST","2027","Social Sciences (including economics, CLPS)","Man","Other LGBTQ+","White","Yes, club athletics","Very liberal","No","Somewhat disagree","Ideal romantic partner","No","Unsure","Not too serious","Somewhat agree","Die now"
"2024/11/20 11:55:28 AM EST","2027","Life Sciences","Woman","Bisexual","White","Yes, varsity athletics","Liberal","Prefer not to answer","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 11:55:37 AM EST","2025","Physical Sciences (including math, computer science)","Man","Straight","White","Yes, club athletics","Very liberal","Yes","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Somewhat agree","Live forever"
"2024/11/20 11:55:45 AM EST","2028","Humanities/Arts","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Dream job","No","No","Somewhat serious","Somewhat agree","Die now"
"2024/11/20 11:57:26 AM EST","2025","Humanities/Arts","Woman","Straight;Questioning","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","Yes","Yes","Unsure","Strongly agree","Prefer not to answer"
"2024/11/20 12:02:12 PM EST","2028","Life Sciences;Physical Sciences (including math, computer science)","Man","Gay","White","No, I do not participate in varsity or club athletics","Very liberal","Yes","Somewhat disagree","Dream job","Yes","No","Not at all serious","Strongly agree","Live forever"
"2024/11/20 12:02:16 PM EST","2028","Prefer not to answer","Woman","Lesbian","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Prefer not to answer","No","Yes","Somewhat serious","Strongly agree","Live forever"
"2024/11/20 12:06:46 PM EST","2025","Physical Sciences (including math, computer science)","Woman","Straight","White","No, I do not participate in varsity or club athletics","Prefer not to answer","No","Somewhat agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Live forever"
"2024/11/20 12:06:52 PM EST","2027","Physical Sciences (including math, computer science)","Woman","Straight","Middle Eastern or North African;White","No, I do not participate in varsity or club athletics","Unsure","No","Somewhat agree","Dream job","No","Unsure","Somewhat serious","Somewhat agree","Prefer not to answer"
"2024/11/20 12:10:52 PM EST","2026","Social Sciences (including economics, CLPS)","Man","Straight","White","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not at all serious","Strongly agree","Die now"
"2024/11/20 12:10:56 PM EST","2026","Humanities/Arts","Man","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","No","Not too serious","Strongly agree","Live forever"
"2024/11/20 12:11:37 PM EST","2028","Humanities/Arts","Woman","Bisexual","White","No, I do not participate in varsity or club athletics","Liberal","No","Strongly agree","Dream job","No","Yes","Somewhat serious","Strongly agree","Live forever"
"2024/11/20 12:12:30 PM EST","2027","Physical Sciences (including math, computer science)","Man","Gay","Asian","No, I do not participate in varsity or club athletics","Liberal","No","Somewhat agree","Ideal romantic partner","No","No","Not too serious","Unsure","Live forever"
