"Timestamp","What is your current graduation year?","How would you describe your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area(s)?","Do you participate in athletics at Brown? Select all that apply.","To what extent are you informed about the Israel-Hamas War?","To what extent do you think the average Brown student is informed about the Israel-Hamas War?","Which of the following statements do you most agree with?","Have you ever considered transferring from Brown to another undergraduate institution? ","Do you have access to a credit or debit card that is paid for by a parent/guardian?","To what extent do you agree or disagree with the following statement: I feel comfortable expressing my religion on Brown’s campus.","Which of the following statements comes closest to your view?","How likely are you to donate money to Brown University or an affiliated organization in the future?","Would you date a first-year student at Brown?"
"2023/10/18 12:05:32 PM AST","2027","Female","Black;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Unsure","Somewhat unlikely","Prefer not to answer"
"2023/10/18 12:05:55 PM AST","2026","Female","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Strongly agree","Unsure","Somewhat likely","Yes"
"2023/10/18 12:06:18 PM AST","2027","Male","White","Life Sciences","Yes, club athletics","Very informed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:06:37 PM AST","2027","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/18 12:07:54 PM AST","2027","Male","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:08:17 PM AST","2027","Female","Asian","Humanities/Arts;Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/18 12:08:27 PM AST","2026","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:11:25 PM AST","2026","Female","Asian","Prefer not to answer","No, I do not participate in varsity, club, or intramural athletics","Prefer not to answer","Prefer not to answer","Prefer not to answer","Unsure","No","Prefer not to answer","Prefer not to answer","Prefer not to answer","Prefer not to answer"
"2023/10/18 12:11:32 PM AST","2027","Female","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, club athletics","Very uninformed","Somewhat uninformed","The United States of America is not in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:11:57 PM AST","2027","Non-binary","Black;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","Somewhat agree","Unsure","Somewhat unlikely","Yes"
"2023/10/18 12:12:21 PM AST","2027","Questioning","Asian","Life Sciences;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is in decline","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:14:40 PM AST","2024","Female","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/18 12:16:15 PM AST","2025","Male","Prefer not to answer","Life Sciences","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Unsure","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/18 12:17:09 PM AST","2025","Male","Hispanic;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Unsure"
"2023/10/18 12:17:54 PM AST","2024","Male","Prefer not to answer","Life Sciences;Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","Yes","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/18 12:18:12 PM AST","2027","Female","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:18:37 PM AST","2027","Male","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/18 12:19:57 PM AST","2024","Male","Asian","Social Sciences (including economics, CLPS)","Yes, intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Unsure"
"2023/10/18 12:19:58 PM AST","2026","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics","Very uninformed","Somewhat uninformed","The United States of America is in decline","Yes","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 12:21:48 PM AST","2026","Male","Hispanic;Native American or Alaska Native","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/18 12:21:49 PM AST","2024","Female","White","Life Sciences","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","No","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 12:22:49 PM AST","2025","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","The United States of America is not in decline","No","No","Somewhat agree","Unsure","Very unlikely","No"
"2023/10/18 12:22:49 PM AST","2025","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Unsure","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:25:32 PM AST","2025","Female","Middle Eastern or North African;White","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat disagree","Unsure","Very unlikely","No"
"2023/10/18 12:25:39 PM AST","2024","Male","White","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:28:06 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, varsity athletics;Yes, intramural athletics","Very uninformed","Somewhat informed","Unsure","Yes","Yes","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:30:13 PM AST","2024","Female","Black;Hispanic","Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/18 12:32:47 PM AST","2027","Male","White","Social Sciences (including economics, CLPS)","Yes, varsity athletics","Very uninformed","Very uninformed","Unsure","Yes","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:33:27 PM AST","2027","Male","White","Physical Sciences (including math, computer science)","Yes, club athletics","Very informed","Very informed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:34:15 PM AST","2024","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","Yes","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:34:52 PM AST","2027","Female","Asian;Hispanic;White","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","Unsure","No","Prefer not to answer","I do not actively practice a religion","Unsure","Unsure","Unsure"
"2023/10/18 12:36:56 PM AST","2026","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat uninformed","Somewhat uninformed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/18 12:37:55 PM AST","2026","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics;Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 12:38:50 PM AST","2027","Male","Asian","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat informed","Unsure","Prefer not to answer","Unsure","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Prefer not to answer"
"2023/10/18 12:39:55 PM AST","2026","Female","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:41:03 PM AST","2027","Male","Asian;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","Yes","No","I do not actively practice a religion","Unsure","Somewhat likely","Unsure"
"2023/10/18 12:41:09 PM AST","2027","Male","Hispanic;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, club athletics;Yes, intramural athletics","Prefer not to answer","Prefer not to answer","Prefer not to answer","Yes","Yes","Prefer not to answer","Prefer not to answer","Unsure","Yes"
"2023/10/18 12:41:31 PM AST","2027","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","No","I do not actively practice a religion","Unsure","Unsure","Yes"
"2023/10/18 12:43:14 PM AST","2027","Male","White","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Yes, club athletics;Yes, intramural athletics","Somewhat uninformed","Somewhat uninformed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Somewhat unlikely","Yes"
"2023/10/18 12:43:25 PM AST","2024.5","Female","Asian","Life Sciences;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Very uninformed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:43:36 PM AST","2025","Male","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Unsure"
"2023/10/18 12:44:33 PM AST","2025","Male","White","Life Sciences","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:45:07 PM AST","2026","Female","Black","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:45:54 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Very uninformed","Unsure","Yes","Yes","Unsure","Unsure","Unsure","No"
"2023/10/18 12:47:15 PM AST","2027","Male","Asian","Humanities/Arts","Yes, intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 12:47:29 PM AST","2025","Male","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Very informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:47:48 PM AST","2023.5","Female","White","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:48:56 PM AST","2026","Male","Black","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/18 12:49:33 PM AST","2025","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Unsure","Very unlikely","No"
"2023/10/18 12:49:51 PM AST","2026","Male","Black","Humanities/Arts;Life Sciences;Social Sciences (including economics, CLPS)","Yes, intramural athletics","Very uninformed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Unsure","Somewhat likely","Unsure"
"2023/10/18 12:50:42 PM AST","2025","Male","Asian","Life Sciences","Yes, club athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Unsure"
"2023/10/18 12:52:01 PM AST","2026","Female","White","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:52:10 PM AST","2024","Male","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Unsure"
"2023/10/18 12:52:31 PM AST","2024","Male","White","Social Sciences (including economics, CLPS)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:52:40 PM AST","2026","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Somewhat informed","Unsure","Yes","Yes","I do not actively practice a religion","Unsure","Unsure","No"
"2023/10/18 12:53:54 PM AST","2025","Female","Hispanic","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is not in decline","No","No","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 12:54:53 PM AST","2025","Female","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 12:55:06 PM AST","2026","Female","White","Humanities/Arts","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 12:55:53 PM AST","2024","Female","White","Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 12:57:11 PM AST","2026","Female","Hispanic","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","Yes"
"2023/10/18 12:58:46 PM AST","2025","Male","Asian","Life Sciences;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat uninformed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/18 12:59:00 PM AST","2026","Male","Asian","Life Sciences","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 1:00:37 PM AST","2026","Female","White","Humanities/Arts;Life Sciences","Yes, varsity athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 1:01:39 PM AST","2027","Female","Asian;Middle Eastern or North African;White","Physical Sciences (including math, computer science)","Yes, varsity athletics","Somewhat informed","Somewhat uninformed","Prefer not to answer","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/18 1:01:51 PM AST","2027","Male","Asian","Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is not in decline","Yes","Yes","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/18 1:02:07 PM AST","2027","Male","Middle Eastern or North African;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Somewhat unlikely","No"
"2023/10/18 1:02:49 PM AST","2027","Female","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Yes"
"2023/10/18 1:03:35 PM AST","2026","Female","White","Life Sciences","Yes, varsity athletics","Somewhat informed","Very uninformed","Unsure","Yes","Yes","Strongly disagree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 1:04:31 PM AST","2025","Male","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat uninformed","Unsure","No","Yes","I do not actively practice a religion","Unsure","Somewhat likely","No"
"2023/10/18 1:04:58 PM AST","2024","Male","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 1:06:06 PM AST","2026","Female","White","Life Sciences;Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Unsure","Yes","Strongly agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 1:07:48 PM AST","2026","Female","Asian","Humanities/Arts;Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","No","Yes","Strongly agree","Unsure","Very likely","No"
"2023/10/18 1:08:06 PM AST","2025","Male","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Yes, intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 1:08:11 PM AST","2024","Female","Hispanic;Native Hawaiian or Pacific Islander","Social Sciences (including economics, CLPS)","Yes, club athletics","Somewhat uninformed","Somewhat informed","The United States of America is in decline","No","No","Somewhat disagree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 1:09:54 PM AST","2026","Prefer not to answer","White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat uninformed","Very uninformed","Unsure","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","No"
"2023/10/18 1:10:10 PM AST","2025","Female","White","Life Sciences;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly disagree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 1:13:15 PM AST","2026","Male","Black","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Unsure"
"2023/10/18 1:13:44 PM AST","2025","Female","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Somewhat agree","Unsure","Very unlikely","Unsure"
"2023/10/18 1:13:53 PM AST","2025","Male","White","Life Sciences","Yes, club athletics;Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Unsure","Yes"
"2023/10/18 1:15:53 PM AST","2027","Female","Black;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 1:16:26 PM AST","2027","Male","Asian;White","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Very uninformed","Unsure","The United States of America is in decline","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","Yes"
"2023/10/18 1:19:10 PM AST","2024","Male","Asian","Physical Sciences (including math, computer science)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 1:20:27 PM AST","2026","Male","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 1:22:07 PM AST","2025","Female","White","Humanities/Arts;Life Sciences","Yes, club athletics;Yes, intramural athletics","Very uninformed","Somewhat uninformed","The United States of America is not in decline","Yes","No","Somewhat agree","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Unsure"
"2023/10/18 1:22:24 PM AST","2025","Female","White","Humanities/Arts;Physical Sciences (including math, computer science)","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is not in decline","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/18 1:25:04 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Somewhat informed","Somewhat uninformed","The United States of America is in decline","No","Yes","Somewhat agree","Unsure","Somewhat likely","Unsure"
"2023/10/18 1:25:41 PM AST","2027","Male","Asian;White","Life Sciences","Yes, club athletics","Somewhat informed","Very uninformed","The United States of America is in decline","Yes","Yes","Unsure","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","Yes"
"2023/10/18 1:25:52 PM AST","2026","Female","Asian","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Somewhat informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","No"
"2023/10/18 1:28:10 PM AST","2024","Female","Asian","Life Sciences","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat informed","Unsure","No","Yes","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 1:31:38 PM AST","2025","Male","Hispanic","Social Sciences (including economics, CLPS)","No, I do not participate in varsity, club, or intramural athletics","Very informed","Somewhat uninformed","The United States of America is in decline","No","No","I do not actively practice a religion","Varsity athletes should not receive some type of preferential treatment in Brown's undergraduate admissions process","Very likely","No"
"2023/10/18 1:31:57 PM AST","2024","Male","White","Humanities/Arts","Yes, club athletics","Somewhat informed","Somewhat informed","The United States of America is in decline","Yes","No","Strongly agree","Unsure","Somewhat unlikely","No"
"2023/10/18 1:39:01 PM AST","2026","Female","Black","Physical Sciences (including math, computer science)","Yes, varsity athletics","Very uninformed","Somewhat uninformed","The United States of America is in decline","No","No","Strongly agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat likely","No"
"2023/10/18 1:42:59 PM AST","2026","Male","White","Physical Sciences (including math, computer science)","Yes, intramural athletics","Very informed","Somewhat informed","The United States of America is in decline","Yes","No","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Very unlikely","No"
"2023/10/18 1:47:09 PM AST","2026","Male","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Yes, intramural athletics","Unsure","Somewhat uninformed","The United States of America is not in decline","Yes","Yes","Somewhat agree","Varsity athletes should receive some type of preferential treatment in Brown's undergraduate admissions process","Somewhat unlikely","Unsure"
