"Timestamp","What is your current graduation year?","What is your gender identity?","How would you describe your race and ethnicity? Check all that apply.","What is your (intended) concentration area? Check all that apply.","How would you describe your family’s socioeconomic status?","Would you support or oppose the U.S. government banning TikTok?","When was the last time you cried?","Do you regret choosing to take a class S/NC rather than for a letter grade?","If you had to choose, would you rather raise a child starting now or never have the opportunity? (Baby now or never)","Which of the following statements applies to you? Check all that apply.","Who is the current Chief Justice of the United States Supreme Court?","Do you approve or disapprove of Brown Concert Agency’s artist selections for Spring Weekend?","On average, how many alcoholic beverages do you consume each week at Brown?"
"2023/04/12 1:29:56 PM AST","2026","Woman","White","Life Sciences","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Unsure","0-5 drinks"
"2023/04/12 1:30:34 PM AST","2024","Woman","Black","Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","5-10 drinks"
"2023/04/12 1:31:01 PM AST","2023","Man","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Upper class","Support","In the past 6 months","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","20+ drinks"
"2023/04/12 1:31:42 PM AST","2025","Man","White","Prefer not to answer","Upper class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","idk","Strongly approve","Zero – I don’t drink"
"2023/04/12 1:32:21 PM AST","2023","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 1:35:19 PM AST","2026","Man","Asian","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","ihni","Somewhat disapprove","5-10 drinks"
"2023/04/12 1:36:18 PM AST","2026","Man","White","Life Sciences","Upper class","Unsure","In the past year","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","not RBG...","Somewhat approve","0-5 drinks"
"2023/04/12 1:36:24 PM AST","2026","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/12 1:37:37 PM AST","2026","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","idk","Somewhat disapprove","5-10 drinks"
"2023/04/12 1:37:40 PM AST","2023","Woman","Hispanic","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat approve","0-5 drinks"
"2023/04/12 1:40:23 PM AST","2026","Woman","Asian","Humanities/Arts;Life Sciences","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Somewhat approve","0-5 drinks"
"2023/04/12 1:40:35 PM AST","2026","Woman","Asian","Life Sciences","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/12 1:41:43 PM AST","2023","Woman","Asian","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/12 1:42:23 PM AST","2023.5","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","Unsure","Unsure","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Unsure","Zero – I don’t drink"
"2023/04/12 1:42:32 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","More than 3 years ago","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","Sylvester Stallone","Unsure","0-5 drinks"
"2023/04/12 1:43:12 PM AST","2023.5","Man","Asian","Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past year","Unsure","Unsure","Most of my close friends are the same race as me","","Somewhat approve","0-5 drinks"
"2023/04/12 1:43:19 PM AST","2024.5","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Unsure","More than 3 years ago","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts?","Somewhat approve","5-10 drinks"
"2023/04/12 1:44:31 PM AST","2026","Woman","Asian;Black;Hispanic;White","Social Sciences (including economics, CLPS)","Lower-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","0-5 drinks"
"2023/04/12 1:44:55 PM AST","2023","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","IDK","Somewhat approve","Zero – I don’t drink"
"2023/04/12 1:45:04 PM AST","2023","Non-binary","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","no idea lol","Somewhat approve","Zero – I don’t drink"
"2023/04/12 1:47:51 PM AST","2024","Man","White","Life Sciences","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","dont know lmao","Strongly disapprove","0-5 drinks"
"2023/04/12 1:48:05 PM AST","2026","Woman","Asian;Hispanic","Physical Sciences (including math, computer science)","Lower-middle class","Unsure","In the past week","Unsure","I would rather never have the opportunity","None of these statements applies to me","idk","Unsure","0-5 drinks"
"2023/04/12 1:50:59 PM AST","2025","Woman","Asian","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","I have never chosen to take a class S/NC","Unsure","Most of my close friends are the same gender as me","ur mom","Strongly approve","0-5 drinks"
"2023/04/12 1:51:59 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/12 1:52:19 PM AST","2025","Man","White","Life Sciences;Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","","Strongly approve","5-10 drinks"
"2023/04/12 1:52:50 PM AST","2024","Woman","Asian","Life Sciences;Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","John Roberts","Somewhat disapprove","0-5 drinks"
"2023/04/12 1:53:19 PM AST","2023","Woman","Middle Eastern or North African;White","Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","0-5 drinks"
"2023/04/12 1:54:10 PM AST","2026","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","The old white dude","Somewhat disapprove","0-5 drinks"
"2023/04/12 1:54:25 PM AST","2026","Man","Middle Eastern or North African;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Oppose","More than 3 years ago","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John G. Roberts Jr.","Somewhat approve","Zero – I don’t drink"
"2023/04/12 1:55:05 PM AST","2025","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","","Strongly approve","0-5 drinks"
"2023/04/12 1:55:45 PM AST","2026","Unsure","White","Humanities/Arts;Social Sciences (including economics, CLPS)","Prefer not to answer","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Prefer not to answer","antonin scalia and the ghost of john kennedy junior ","Strongly disapprove","20+ drinks"
"2023/04/12 1:55:52 PM AST","2024","Man","Black","Social Sciences (including economics, CLPS)","Lower-middle class","Oppose","More than a year ago","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Justice Roberts","Somewhat approve","0-5 drinks"
"2023/04/12 1:56:27 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","","Strongly approve","0-5 drinks"
"2023/04/12 1:56:45 PM AST","2025.5","Non-binary","Middle Eastern or North African","Physical Sciences (including math, computer science)","Lower class","Oppose","In the past year","Yes, I regret choosing to take multiple classes S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat disapprove","5-10 drinks"
"2023/04/12 1:57:31 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","Upper class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","idk","Strongly approve","0-5 drinks"
"2023/04/12 1:58:08 PM AST","2024","Woman","Asian","Life Sciences;Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 1:58:41 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Roberts","Somewhat approve","10-15 drinks"
"2023/04/12 1:59:20 PM AST","2023","Woman","Asian;White","Humanities/Arts;Physical Sciences (including math, computer science)","Lower class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","girl idk","Somewhat approve","0-5 drinks"
"2023/04/12 2:01:58 PM AST","2025","Non-binary","White","Humanities/Arts","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","Alito?","Strongly approve","0-5 drinks"
"2023/04/12 2:03:43 PM AST","2024","Woman","White","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","don’t know ","Somewhat approve","5-10 drinks"
"2023/04/12 2:04:51 PM AST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Justice Roberts","Strongly approve","0-5 drinks"
"2023/04/12 2:05:06 PM AST","2024","Woman","Middle Eastern or North African;White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","","Somewhat approve","0-5 drinks"
"2023/04/12 2:07:27 PM AST","2023","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Support","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","5-10 drinks"
"2023/04/12 2:07:31 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Middle class","Unsure","In the past month","Yes, I regret choosing to take multiple classes S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","Your Mom","Strongly approve","0-5 drinks"
"2023/04/12 2:08:38 PM AST","2024","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","No clue","Somewhat approve","20+ drinks"
"2023/04/12 2:10:43 PM AST","2024","Questioning","Asian","Life Sciences","Upper-middle class","Oppose","In the past week","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Unsure","0-5 drinks"
"2023/04/12 2:11:09 PM AST","2023","Man","White","Humanities/Arts","Upper class","Support","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","roberts","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:11:58 PM AST","2026","Man","Asian","Life Sciences","Middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","some old white republican dude","Prefer not to answer","Zero – I don’t drink"
"2023/04/12 2:12:26 PM AST","2024","Man","White","Humanities/Arts;Life Sciences","Middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","Justice John Roberts","Strongly approve","5-10 drinks"
"2023/04/12 2:14:20 PM AST","2025","Woman","Asian","Life Sciences","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","no clue","Unsure","0-5 drinks"
"2023/04/12 2:14:40 PM AST","2025","Woman","White","Life Sciences","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","Unsure","None of these statements applies to me","","Unsure","5-10 drinks"
"2023/04/12 2:16:50 PM AST","2026","Woman","White","Life Sciences","Middle class","Oppose","More than a year ago","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Not sure","Unsure","Prefer not to answer"
"2023/04/12 2:19:23 PM AST","2025","Woman","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:19:30 PM AST","2026","Prefer not to Answer","White","Life Sciences;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past year","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","None of these statements applies to me","","Unsure","Zero – I don’t drink"
"2023/04/12 2:20:13 PM AST","2026","Man","Asian","Humanities/Arts;Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","good question","Somewhat approve","Zero – I don’t drink"
"2023/04/12 2:21:28 PM AST","2024","Man","Asian","Physical Sciences (including math, computer science)","Lower-middle class","Unsure","In the past year","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John G. Roberts","Somewhat approve","0-5 drinks"
"2023/04/12 2:21:48 PM AST","2023","Woman","Asian","Humanities/Arts;Physical Sciences (including math, computer science)","Middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","roberts","Strongly approve","Zero – I don’t drink"
"2023/04/12 2:22:27 PM AST","2026","Woman","White","Humanities/Arts","Upper class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Robert K","Strongly approve","0-5 drinks"
"2023/04/12 2:23:05 PM AST","2023.5","Woman","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","I have never chosen to take a class S/NC","I would rather never have the opportunity","None of these statements applies to me","I don't know I'm also not American","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:23:24 PM AST","2025","Man","Asian;Hispanic;White","Life Sciences","Upper-middle class","Support","In the past year","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Not a clue in the world","Somewhat approve","5-10 drinks"
"2023/04/12 2:23:31 PM AST","2023","Woman","Asian","Humanities/Arts","Middle class","Oppose","In the past week","Unsure","I would rather never have the opportunity","None of these statements applies to me","","Somewhat approve","Zero – I don’t drink"
"2023/04/12 2:23:31 PM AST","2024","Woman","White","Physical Sciences (including math, computer science)","Lower-middle class","Oppose","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","","Unsure","Zero – I don’t drink"
"2023/04/12 2:25:44 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Prefer not to answer","Support","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","Robert","Unsure","0-5 drinks"
"2023/04/12 2:25:59 PM AST","2026","Woman","Hispanic","Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","Robert ayeeee","Unsure","15-20 drinks"
"2023/04/12 2:26:24 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","Dunno","Somewhat approve","0-5 drinks"
"2023/04/12 2:27:28 PM AST","2024","Woman","Asian;White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","idek","Somewhat approve","0-5 drinks"
"2023/04/12 2:27:58 PM AST","2025","Woman","White","Life Sciences","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","celia kong johnson ","Unsure","0-5 drinks"
"2023/04/12 2:28:45 PM AST","2025","Woman","Asian;Native Hawaiian or Pacific Islander;White","Physical Sciences (including math, computer science);Prefer not to answer","Upper-middle class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends have the same socioeconomic status as me","I do not know","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:29:40 PM AST","2025","Man","White","Life Sciences","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Clarence Thomas","Somewhat disapprove","5-10 drinks"
"2023/04/12 2:29:51 PM AST","2025","Woman","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Somewhat approve","15-20 drinks"
"2023/04/12 2:30:34 PM AST","2026","Man","White","Life Sciences","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","","Somewhat disapprove","Zero – I don’t drink"
"2023/04/12 2:31:01 PM AST","2026","Woman","Asian","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","","Somewhat disapprove","5-10 drinks"
"2023/04/12 2:31:24 PM AST","2026","Woman","White","Humanities/Arts","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same gender as me","Robert","Unsure","5-10 drinks"
"2023/04/12 2:31:57 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past month","I have never chosen to take a class S/NC","Unsure","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","Roberts","Unsure","5-10 drinks"
"2023/04/12 2:33:27 PM AST","2023","Man","Asian;White","Humanities/Arts;Social Sciences (including economics, CLPS)","Middle class","Oppose","In the past month","Unsure","I would rather never have the opportunity","Most of my close friends are the same gender as me",":(","Somewhat approve","10-15 drinks"
"2023/04/12 2:36:53 PM AST","2025","Man","White","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past 6 months","I have never chosen to take a class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Clarence Thomas?","Strongly approve","0-5 drinks"
"2023/04/12 2:38:47 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:41:26 PM AST","2026.5","Man","Hispanic","Physical Sciences (including math, computer science)","Lower-middle class","Unsure","In the past 6 months","I have never chosen to take a class S/NC","I would rather never have the opportunity","Most of my close friends are the same gender as me","","Somewhat disapprove","Zero – I don’t drink"
"2023/04/12 2:42:38 PM AST","2025","Man","Asian","Physical Sciences (including math, computer science)","Upper class","Unsure","In the past week","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me","John Roberts","Unsure","Zero – I don’t drink"
"2023/04/12 2:43:05 PM AST","2025","Man","White","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Oppose","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same gender as me","John Roberts","Strongly disapprove","0-5 drinks"
"2023/04/12 2:44:29 PM AST","2023","Woman","White","Social Sciences (including economics, CLPS)","Upper class","Unsure","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","","Strongly approve","0-5 drinks"
"2023/04/12 2:46:27 PM AST","2025","Man","White","Humanities/Arts;Physical Sciences (including math, computer science)","Upper class","Support","More than a year ago","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","None of these statements applies to me","Chief Justice Roberts","Somewhat approve","5-10 drinks"
"2023/04/12 2:47:52 PM AST","2025","Woman","Hispanic","Social Sciences (including economics, CLPS)","Lower class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","None of these statements applies to me","lol ","Somewhat approve","Zero – I don’t drink"
"2023/04/12 2:52:08 PM AST","2023","Man","Middle Eastern or North African","Social Sciences (including economics, CLPS)","Upper class","Oppose","More than 3 years ago","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same race as me;None of these statements applies to me","Sonya Sotomayor","Strongly approve","20+ drinks"
"2023/04/12 2:52:31 PM AST","2023","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past month","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me","i dont know","Somewhat approve","20+ drinks"
"2023/04/12 2:52:54 PM AST","2026","Woman","Asian","Life Sciences","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","Unsure","Most of my close friends are the same gender as me;Most of my close friends have the same socioeconomic status as me","John Roberts","Somewhat disapprove","5-10 drinks"
"2023/04/12 2:53:22 PM AST","2025","Woman","Asian","Humanities/Arts;Life Sciences","Upper-middle class","Oppose","In the past month","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","do not know","Somewhat disapprove","0-5 drinks"
"2023/04/12 2:54:58 PM AST","2025","Man","White","Humanities/Arts","Middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","John Roberts???","Somewhat approve","0-5 drinks"
"2023/04/12 2:55:02 PM AST","2023.5","Man","White","Social Sciences (including economics, CLPS)","Upper class","Oppose","In the past year","Yes, I regret choosing to take one class S/NC","Unsure","Most of my close friends are the same race as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/12 2:55:26 PM AST","2025","Man","Asian;Black;Hispanic","Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","John Roberts","Strongly approve","0-5 drinks"
"2023/04/12 2:56:07 PM AST","2026","Woman","White","Humanities/Arts","Upper-middle class","Oppose","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me","","Somewhat approve","5-10 drinks"
"2023/04/12 2:56:30 PM AST","2026","Woman","White","Life Sciences;Physical Sciences (including math, computer science)","Middle class","Unsure","In the past week","I have never chosen to take a class S/NC","I would rather raise a child starting now","None of these statements applies to me","John Roberts","Unsure","5-10 drinks"
"2023/04/12 2:57:16 PM AST","2024","Man","White","Life Sciences;Physical Sciences (including math, computer science)","Upper-middle class","Unsure","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","Earl Warren","Somewhat approve","0-5 drinks"
"2023/04/12 2:57:33 PM AST","2024","Man","Black","Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past 6 months","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","Most of my close friends have the same socioeconomic status as me","Justice Roberts","Strongly disapprove","Zero – I don’t drink"
"2023/04/12 2:57:42 PM AST","2026","Woman","Asian;Hispanic","Humanities/Arts","Middle class","Unsure","In the past week","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends have the same socioeconomic status as me","idk","Somewhat approve","0-5 drinks"
"2023/04/12 2:58:10 PM AST","2024","Man","White","Physical Sciences (including math, computer science)","Upper class","Support","In the past year","No, I do not regret taking any classes S/NC","I would rather never have the opportunity","Most of my close friends are the same race as me;Most of my close friends have the same socioeconomic status as me","","Strongly disapprove","Zero – I don’t drink"
"2023/04/12 3:01:24 PM AST","2024","Woman","White","Physical Sciences (including math, computer science)","Upper-middle class","Support","In the past 6 months","Yes, I regret choosing to take one class S/NC","I would rather raise a child starting now","Most of my close friends are the same race as me;Most of my close friends are the same gender as me","Roberts","Unsure","0-5 drinks"
"2023/04/12 3:03:22 PM AST","2026","Man","White","Humanities/Arts","Middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","Prefer not to answer","John Roberts","Somewhat approve","0-5 drinks"
"2023/04/12 3:13:02 PM AST","2025","Woman","Black","Life Sciences;Physical Sciences (including math, computer science)","Upper-middle class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","Mark Anthony","Somewhat approve","0-5 drinks"
"2023/04/12 3:20:27 PM AST","2023","Man","Hispanic;White","Humanities/Arts","Upper class","Oppose","In the past month","No, I do not regret taking any classes S/NC","I would rather raise a child starting now","None of these statements applies to me","n/a","Unsure","0-5 drinks"
"2023/04/12 3:21:30 PM AST","2023","Woman","Asian","Physical Sciences (including math, computer science);Social Sciences (including economics, CLPS)","Upper-middle class","Unsure","In the past 6 months","Yes, I regret choosing to take one class S/NC","Unsure","None of these statements applies to me","I don't know","Unsure","0-5 drinks"
